Hash,Refatoração,Descrição
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE, MOVE	{Method main(String[]) at GraphTheory2/SteinerTree.java:121}	{Method main(String[]) at GraphTheory/SteinerTree.java:121}) MOVE({SteinerTree main(String[])}  {SteinerTree main(String[])}),
2c72e1beca70d41d9949df88fb780a1e8284c03d,EXTRACT, EXTRACT	{Method main(String[]) at com/williamfiset/algorithms/graphtheory/treealgorithms/TreeIsomorphism.java:160}	{Method simpleIsomorphismTest() at com/williamfiset/algorithms/graphtheory/treealgorithms/TreeIsomorphism.java:167}) EXTRACT({com.williamfiset.algorithms.graphtheory.treealgorithms.TreeIsomorphism main(String[])}  {com.williamfiset.algorithms.graphtheory.treealgorithms.TreeIsomorphism simpleIsomorphismTest()}),
3410864adb184adc921eda4e194bd8721082ebe1,RENAME, RENAME	{Method tsp(double[][]  int) at GraphTheory/TspDynamicProgramming.java:59}	{Method solve() at GraphTheory/TspDynamicProgramming.java:63}) RENAME({TspDynamicProgramming tsp(double[][]  int)}  {TspDynamicProgramming solve()}),
3410864adb184adc921eda4e194bd8721082ebe1,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method tsp(int  int  double[][]  Double[][]  Integer[][]  int) at GraphTheory/TspDynamicProgramming.java:81}	{Method tsp(int  int  Double[][]  Integer[][]) at GraphTheory/TspDynamicProgramming.java:85}) CHANGE_SIGNATURE({TspDynamicProgramming tsp(int  int  double[][]  Double[][]  Integer[][]  int)}  {TspDynamicProgramming tsp(int  int  Double[][]  Integer[][])}),
e89dbe6e0119b71d98d8c59ca034932ec4f15194,EXTRACT, EXTRACT	{Method main(String[]) at src/main/java/com/williamfiset/algorithms/dp/CoinChange.java:109}	{Method example3() at src/main/java/com/williamfiset/algorithms/dp/CoinChange.java:167}) EXTRACT({com.williamfiset.algorithms.dp.CoinChange main(String[])}  {com.williamfiset.algorithms.dp.CoinChange example3()}),
46ef34d669197a67d530a28bc81eed0ba26401a9,RENAME, RENAME	{Class FordFulkersonDFSAdjacencyList at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDFSAdjacencyList.java:14}	{Class FordFulkersonDfsSolverAdjacencyList at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDfsSolverAdjacencyList.java:15}) RENAME({com.williamfiset.algorithms.graphtheory.FordFulkersonDFSAdjacencyList}  {com.williamfiset.algorithms.graphtheory.FordFulkersonDfsSolverAdjacencyList}),
46ef34d669197a67d530a28bc81eed0ba26401a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addEdge(List[]  int  int  int) at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDFSAdjacencyList.java:37}	{Method addEdge(List  int  int  int) at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDfsSolverAdjacencyList.java:126}) CHANGE_SIGNATURE({com.williamfiset.algorithms.graphtheory.FordFulkersonDFSAdjacencyList addEdge(List[]  int  int  int)}  {com.williamfiset.algorithms.graphtheory.FordFulkersonDfsSolverAdjacencyList addEdge(List  int  int  int)}),
46ef34d669197a67d530a28bc81eed0ba26401a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method dfs(List[]  int[]  int  int  int) at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDFSAdjacencyList.java:81}	{Method dfs(int  int) at com/williamfiset/algorithms/graphtheory/networkflow/FordFulkersonDfsSolverAdjacencyList.java:87}) CHANGE_SIGNATURE({com.williamfiset.algorithms.graphtheory.FordFulkersonDFSAdjacencyList dfs(List[]  int[]  int  int  int)}  {com.williamfiset.algorithms.graphtheory.FordFulkersonDfsSolverAdjacencyList dfs(int  int)}),
68924d7c5c241530bb9eb2878b8086d7ecf1c05e,MOVE, MOVE	{Method eulerianPath(Edge[]  int) at GraphTheory/EulerianPathDirectedEdgesAdjacencyList.java:23}	{Method eulerianPath(List) at GraphTheory/EulerianPathDirectedEdgesAdjacencyList.java:37}) MOVE({EulerianPathDirectedEdgesEdgeList eulerianPath(Edge[]  int)}  {EulerianPathDirectedEdgesAdjacencyList eulerianPath(List)}),
8c5c65b166ca749c6b49ca9f7ed2c27dc02d7a7c,RENAME, RENAME	{Method eulerianPath() at com/williamfiset/algorithms/graphtheory/EulerianPathDirectedEdgesAdjacencyList.java:38}	{Method getEulerianPath() at com/williamfiset/algorithms/graphtheory/EulerianPathDirectedEdgesAdjacencyList.java:27}) RENAME({com.williamfiset.algorithms.graphtheory.EulerianPathDirectedEdgesAdjacencyList eulerianPath()}  {com.williamfiset.algorithms.graphtheory.EulerianPathDirectedEdgesAdjacencyList getEulerianPath()}),
8c5c65b166ca749c6b49ca9f7ed2c27dc02d7a7c,MOVE_RENAME, MOVE_RENAME	{Method testMoreComplexPath() at com/williamfiset/algorithms/graphtheory/EulerianPathDirectedEdgesAdjacencyList.java:130}	{Method testSomewhatComplexPath() at javatests/com/williamfiset/algorithms/graphtheory/EulerianPathDirectedEdgesAdjacencyListTest.java:159}) MOVE_RENAME({com.williamfiset.algorithms.graphtheory.EulerianPathDirectedEdgesAdjacencyList testMoreComplexPath()}  {javatests.com.williamfiset.algorithms.graphtheory.EulerianPathDirectedEdgesAdjacencyListTest testSomewhatComplexPath()}),
