Hash,Refatoração,Descrição
f9c091f54b951a308d29c3ab4fab24e67c20d59f,EXTRACT, EXTRACT	{Method build(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:270}	{Method getMinSdkVersionFromAndroidCodename(MetaInfo  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:728}) EXTRACT({brut.androlib.Androlib build(ExtFile  File)}  {brut.androlib.Androlib getMinSdkVersionFromAndroidCodename(MetaInfo  String)}),
d42798fd92dbbc170b17e4b6ab5d4410cfe735df,MOVE_RENAME, MOVE_RENAME	{Class ResXmlSerializer at src/brut/androlib/res/decoder/ResXmlSerializer.java:24}	{Class ExtMXSerializer at src/brut/androlib/res/util/ExtMXSerializer.java:24}) MOVE_RENAME({brut.androlib.res.decoder.ResXmlSerializer}  {brut.androlib.res.util.ExtMXSerializer}),
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertFile(URI  Map  File  String  Path) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:582}	{Method insertFile(Path  Map  File  String  Path) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:579}) CHANGE_SIGNATURE({brut.androlib.Androlib insertFile(URI  Map  File  String  Path)}  {brut.androlib.Androlib insertFile(Path  Map  File  String  Path)}),
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertFolder(URI  Map  File  String  Path) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:600}	{Method insertFolder(Path  Map  File  String  Path) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:597}) CHANGE_SIGNATURE({brut.androlib.Androlib insertFolder(URI  Map  File  String  Path)}  {brut.androlib.Androlib insertFolder(Path  Map  File  String  Path)}),
4af9f005b1ee9c63d82834215936b890282ad017,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode(ResResource  Directory  Directory  Directory) at src/brut/androlib/res/decoder/ResFileDecoder.java:42}	{Method decode(ResResource  Directory  Directory) at src/brut/androlib/res/decoder/ResFileDecoder.java:39}) CHANGE_SIGNATURE({brut.androlib.res.decoder.ResFileDecoder decode(ResResource  Directory  Directory  Directory)}  {brut.androlib.res.decoder.ResFileDecoder decode(ResResource  Directory  Directory)}),
204b742cf0ecb958c9cbb9a1121e27219fcd17bb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeUnknownFiles(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:196}	{Method decodeUnknownFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:196}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeUnknownFiles(ExtFile  File  ResTable)}  {brut.androlib.Androlib decodeUnknownFiles(ExtFile  File)}),
acc83919d0e1ecf1c2c77221a09e50bc72bef5c1,RENAME, RENAME	{Method compareDrawable(String) at brut.apktool/apktool-lib/src/test/java/brut/androlib/BuildAndDecodeTest.java:185}	{Method compareBinaryFolder(String  boolean) at brut.apktool/apktool-lib/src/test/java/brut/androlib/BuildAndDecodeTest.java:190}) RENAME({brut.androlib.BuildAndDecodeTest compareDrawable(String)}  {brut.androlib.BuildAndDecodeTest compareBinaryFolder(String  boolean)}),
83748394272a1c9ac84aa0e5892e9f8aa40b2354,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  short  char[]  char[]  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  char[]  char[]  byte  boolean) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:86}	{Method new(short  short  char[]  char[]  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  char[]  char[]  byte  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:89}) CHANGE_SIGNATURE({brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  char[]  char[]  byte  boolean)}  {brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  char[]  char[]  byte  boolean  int)}),
35a4bd671820a101b0a813fc0dc4e56d55eb2955,RENAME, RENAME	{Class CantFind9PatchChunk at brut.apktool/apktool-lib/src/main/java/brut/androlib/err/CantFind9PatchChunk.java:21}	{Class CantFind9PatchChunkException at brut.apktool/apktool-lib/src/main/java/brut/androlib/err/CantFind9PatchChunkException.java:21}) RENAME({brut.androlib.err.CantFind9PatchChunk}  {brut.androlib.err.CantFind9PatchChunkException}),
b15179c8bc9f099dfe8d875cedc974efc2e8e6fd,EXTRACT, EXTRACT	{Method decode() at src/brut/androlib/ApkDecoder.java:60}	{Method hasResources() at src/brut/androlib/ApkDecoder.java:151}) EXTRACT({brut.androlib.ApkDecoder decode()}  {brut.androlib.ApkDecoder hasResources()}),
8b285989d295b0a758102b3e7f0c5695b5fc3d05,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  boolean) at apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:71}	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean) at apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:78}) CHANGE_SIGNATURE({brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  boolean)}  {brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean)}),
407ffdc5feb42ca477c0d97e0467a219c87b7549,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyUnknownFiles(File  ZipOutputStream  Map  byte[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:590}	{Method copyUnknownFiles(File  ZipOutputStream  Map) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:594}) CHANGE_SIGNATURE({brut.androlib.Androlib copyUnknownFiles(File  ZipOutputStream  Map  byte[])}  {brut.androlib.Androlib copyUnknownFiles(File  ZipOutputStream  Map)}),
