Hash,Refatoração,Descrição
b42deb823b5b50091f733537e2e8718e4a4e4ee7,EXTRACT, EXTRACT	{Method sha256(String) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:113}	{Method getShaHexString(String  MessageDigest) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:150}) EXTRACT({cn.dev33.satoken.secure.SaSecureUtil sha256(String)}  {cn.dev33.satoken.secure.SaSecureUtil getShaHexString(String  MessageDigest)}),
bebee6090149e599bbce5e6f0438b529796a0ffc,MOVE_RENAME, MOVE_RENAME	{Method getValueByClass(Object  Class) at sa-token-core/src/main/java/cn/dev33/satoken/session/SaSession.java:483}	{Method getValueByType(Object  Class) at sa-token-core/src/main/java/cn/dev33/satoken/util/SaFoxUtil.java:151}) MOVE_RENAME({cn.dev33.satoken.session.SaSession getValueByClass(Object  Class)}  {cn.dev33.satoken.util.SaFoxUtil getValueByType(Object  Class)}),
a69e41b04c0fce84cf0e9c3a8c7a57dc36d1a1e6,INLINE, INLINE	{Method checkMethodAnnotation(Method) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1221}	{Method around(ProceedingJoinPoint) at sa-token-spring-aop/src/main/java/cn/dev33/satoken/aop/SaCheckAspect.java:60}) INLINE({cn.dev33.satoken.stp.StpLogic checkMethodAnnotation(Method)}  {cn.dev33.satoken.aop.SaCheckAspect around(ProceedingJoinPoint)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,EXTRACT, EXTRACT	{Method logout() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:151}	{Method getTokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:42}) EXTRACT({cn.dev33.satoken.stp.StpLogic logout()}  {cn.dev33.satoken.stp.StpLogic getTokenName()}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,RENAME, RENAME	{Class SaTokenDaoDefault at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDaoDefault.java:8}	{Class SaTokenDaoDefaultImpl at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDaoDefaultImpl.java:8}) RENAME({cn.dev33.satoken.dao.SaTokenDaoDefault}  {cn.dev33.satoken.dao.SaTokenDaoDefaultImpl}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,EXTRACT, EXTRACT	{Method getTokenInfo() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:105}	{Method getTokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:42}) EXTRACT({cn.dev33.satoken.stp.StpLogic getTokenInfo()}  {cn.dev33.satoken.stp.StpLogic getTokenName()}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method randomTokenValue() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:46}	{Method randomTokenValue(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:50}) CHANGE_SIGNATURE({cn.dev33.satoken.stp.StpLogic randomTokenValue()}  {cn.dev33.satoken.stp.StpLogic randomTokenValue(Object)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,EXTRACT, EXTRACT	{Method getTokenValue() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:54}	{Method getTokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:42}) EXTRACT({cn.dev33.satoken.stp.StpLogic getTokenValue()}  {cn.dev33.satoken.stp.StpLogic getTokenName()}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,RENAME, RENAME	{Method delSessionById(String) at sa-token-dev/src/main/java/cn/dev33/satoken/session/SaSessionCustomUtil.java:52}	{Method deleteSessionById(String) at sa-token-dev/src/main/java/cn/dev33/satoken/session/SaSessionCustomUtil.java:52}) RENAME({cn.dev33.satoken.session.SaSessionCustomUtil delSessionById(String)}  {cn.dev33.satoken.session.SaSessionCustomUtil deleteSessionById(String)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,EXTRACT, EXTRACT	{Method setLoginId(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:119}	{Method getTokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:42}) EXTRACT({cn.dev33.satoken.stp.StpLogic setLoginId(Object)}  {cn.dev33.satoken.stp.StpLogic getTokenName()}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String) at sa-token-dev/src/main/java/cn/dev33/satoken/exception/NotLoginException.java:38}	{Method new(String  String) at sa-token-dev/src/main/java/cn/dev33/satoken/exception/NotLoginException.java:79}) CHANGE_SIGNATURE({cn.dev33.satoken.exception.NotLoginException new(String)}  {cn.dev33.satoken.exception.NotLoginException new(String  String)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,RENAME, RENAME	{Method delSaSession(String) at sa-token-demo-springboot/src/main/java/com/pj/satoken/SaTokenDaoRedis.java:79}	{Method deleteSaSession(String) at sa-token-demo-springboot/src/main/java/com/pj/satoken/SaTokenDaoRedis.java:89}) RENAME({com.pj.satoken.SaTokenDaoRedis delSaSession(String)}  {com.pj.satoken.SaTokenDaoRedis deleteSaSession(String)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,RENAME, RENAME	{Method delSaSession(String) at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDaoDefault.java:52}	{Method deleteSaSession(String) at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDaoDefaultImpl.java:57}) RENAME({cn.dev33.satoken.dao.SaTokenDaoDefault delSaSession(String)}  {cn.dev33.satoken.dao.SaTokenDaoDefaultImpl deleteSaSession(String)}),
ee59f1a2a2151f7e286c9aecbd8908a8731866e0,RENAME, RENAME	{Method delSaSession(String) at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDao.java:56}	{Method deleteSaSession(String) at sa-token-dev/src/main/java/cn/dev33/satoken/dao/SaTokenDao.java:63}) RENAME({cn.dev33.satoken.dao.SaTokenDao delSaSession(String)}  {cn.dev33.satoken.dao.SaTokenDao deleteSaSession(String)}),
1feca73e2a70476137186de51e74a5a9db30108f,MOVE_RENAME, MOVE_RENAME	{Method getSaTokenContext() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaBeanRegister.java:30}	{Method getSaTokenContextForSpringReactor() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaTokenContextRegister.java:15}) MOVE_RENAME({cn.dev33.satoken.reactor.spring.SaBeanRegister getSaTokenContext()}  {cn.dev33.satoken.reactor.spring.SaTokenContextRegister getSaTokenContextForSpringReactor()}),
1feca73e2a70476137186de51e74a5a9db30108f,RENAME, RENAME	{Method getSaServletFilter() at sa-token-plugin/sa-token-quick-login/src/main/java/cn/dev33/satoken/quick/SaQuickRegister.java:35}	{Method getSaServletFilterForQuickLogin() at sa-token-plugin/sa-token-quick-login/src/main/java/cn/dev33/satoken/quick/SaQuickRegister.java:35}) RENAME({cn.dev33.satoken.quick.SaQuickRegister getSaServletFilter()}  {cn.dev33.satoken.quick.SaQuickRegister getSaServletFilterForQuickLogin()}),
1feca73e2a70476137186de51e74a5a9db30108f,MOVE_RENAME, MOVE_RENAME	{Method getSaTokenContext() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaBeanRegister.java:30}	{Method getSaTokenContextForSpring() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaTokenContextRegister.java:15}) MOVE_RENAME({cn.dev33.satoken.spring.SaBeanRegister getSaTokenContext()}  {cn.dev33.satoken.spring.SaTokenContextRegister getSaTokenContextForSpring()}),
1feca73e2a70476137186de51e74a5a9db30108f,RENAME, RENAME	{Class SaTokenWebfluxDemoApplication at sa-token-demo/sa-token-demo-webflux/src/main/java/com/pj/SaTokenWebfluxDemoApplication.java:8}	{Class SaTokenWebfluxApplication at sa-token-demo/sa-token-demo-webflux/src/main/java/com/pj/SaTokenWebfluxApplication.java:8}) RENAME({com.pj.SaTokenWebfluxDemoApplication}  {com.pj.SaTokenWebfluxApplication}),
1feca73e2a70476137186de51e74a5a9db30108f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method saLogin(HttpServletRequest) at sa-token-plugin/sa-token-quick-login/src/main/java/cn/dev33/satoken/quick/web/SaQuickController.java:24}	{Method saLogin(Model) at sa-token-plugin/sa-token-quick-login/src/main/java/cn/dev33/satoken/quick/web/SaQuickController.java:23}) CHANGE_SIGNATURE({cn.dev33.satoken.quick.web.SaQuickController saLogin(HttpServletRequest)}  {cn.dev33.satoken.quick.web.SaQuickController saLogin(Model)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method deleteToken(String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:44}	{Method deleteToken(String  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:44}) CHANGE_SIGNATURE({cn.dev33.satoken.temp.jwt.SaTempForJwt deleteToken(String)}  {cn.dev33.satoken.temp.jwt.SaTempForJwt deleteToken(String  String)}),
