Hash,Refatoração,Descrição
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT, EXTRACT	{Method inspectObject(Object  int) at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:490}	{Method newInspector() at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:615}) EXTRACT({com.taobao.arthas.core.model.ObjectRenderTest inspectObject(Object  int)}  {com.taobao.arthas.core.model.ObjectRenderTest newInspector()}),
dc507df175c615458deb976346208bb9310fcd16,EXTRACT, EXTRACT	{Method decompile(String  String  boolean) at core/src/main/java/com/taobao/arthas/core/util/Decompiler.java:23}	{Method decompile(String  String  boolean  boolean) at core/src/main/java/com/taobao/arthas/core/util/Decompiler.java:31}) EXTRACT({com.taobao.arthas.core.util.Decompiler decompile(String  String  boolean)}  {com.taobao.arthas.core.util.Decompiler decompile(String  String  boolean  boolean)}),
e629ce72c2021ff262dde18e363e3a9859ffb5d3,MOVE_RENAME, MOVE_RENAME	{Method toCol(Collection) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:99}	{Method renderCollectionValue(Collection) at core/src/main/java/com/taobao/arthas/core/command/view/JvmView.java:71}) MOVE_RENAME({com.taobao.arthas.core.command.monitor200.JvmCommand toCol(Collection)}  {com.taobao.arthas.core.command.view.JvmView renderCollectionValue(Collection)}),
e629ce72c2021ff262dde18e363e3a9859ffb5d3,RENAME, RENAME	{Method drawMemoryManagersTable(TableElement) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:176}	{Method addMemoryManagers(JvmModel) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:138}) RENAME({com.taobao.arthas.core.command.monitor200.JvmCommand drawMemoryManagersTable(TableElement)}  {com.taobao.arthas.core.command.monitor200.JvmCommand addMemoryManagers(JvmModel)}),
e629ce72c2021ff262dde18e363e3a9859ffb5d3,RENAME, RENAME	{Method drawRuntimeTable(TableElement) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:124}	{Method addRuntimeInfo(JvmModel) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:87}) RENAME({com.taobao.arthas.core.command.monitor200.JvmCommand drawRuntimeTable(TableElement)}  {com.taobao.arthas.core.command.monitor200.JvmCommand addRuntimeInfo(JvmModel)}),
e629ce72c2021ff262dde18e363e3a9859ffb5d3,MOVE, MOVE	{Method formatMemoryByte(long) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:210}	{Method formatMemoryByte(long) at core/src/main/java/com/taobao/arthas/core/command/view/JvmView.java:117}) MOVE({com.taobao.arthas.core.command.monitor200.JvmCommand formatMemoryByte(long)}  {com.taobao.arthas.core.command.view.JvmView formatMemoryByte(long)}),
e629ce72c2021ff262dde18e363e3a9859ffb5d3,MOVE_RENAME, MOVE_RENAME	{Method toCol(String[]) at core/src/main/java/com/taobao/arthas/core/command/monitor200/JvmCommand.java:111}	{Method renderArrayValue(String[]) at core/src/main/java/com/taobao/arthas/core/command/view/JvmView.java:83}) MOVE_RENAME({com.taobao.arthas.core.command.monitor200.JvmCommand toCol(String[])}  {com.taobao.arthas.core.command.view.JvmView renderArrayValue(String[])}),
3dfaf426c077a081fb8214b93d3832d35ab84472,EXTRACT_MOVE, EXTRACT_MOVE	{Method main(String[]) at channel-server/src/test/java/com/alibaba/arthas/channel/server/ArthasServiceAcquireRequestTest.java:23}	{Method start() at channel-server/src/test/java/com/alibaba/arthas/channel/server/ArthasServiceAcquireRequestTest.java:73}) EXTRACT_MOVE({com.alibaba.arthas.channel.server.ArthasServiceAcquireRequestTest main(String[])}  {com.alibaba.arthas.channel.server.ArthasServiceAcquireRequestTest ArthasServiceClient start()}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvokeAfter(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:130}	{Method onInvokeAfter(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:99}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceExcludeJDKInterceptor onInvokeAfter(Object  Class  String)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceExcludeJDKInterceptor2 onInvokeAfter(Object  Class  String)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method atExit(Object  Class  String  Object[]  Object) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:109}	{Method atExit(Object  Class  String  Object[]  Object) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:29}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyInterceptor atExit(Object  Class  String  Object[]  Object)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyInterceptor2 atExit(Object  Class  String  Object[]  Object)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvokeException(Object  Class  String  Throwable) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:170}	{Method onInvokeException(Object  Class  String  Throwable) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:76}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceInterceptor onInvokeException(Object  Class  String  Throwable)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceInterceptor3 onInvokeException(Object  Class  String  Throwable)}),
