Hash,Refatoração,Descrição
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method collectionOfProvidersOf(TypeLiteral) at core/src/com/google/inject/internal/RealMultibinder.java:87}	{Method collectionOfProvidersOf(TypeLiteral) at core/src/com/google/inject/multibindings/Multibinder.java:199}) PULL_UP({com.google.inject.internal.RealMultibinder collectionOfProvidersOf(TypeLiteral)}  {com.google.inject.multibindings.Multibinder collectionOfProvidersOf(TypeLiteral)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method javaOptionalOf(TypeLiteral) at core/src/com/google/inject/internal/RealOptionalBinder.java:101}	{Method javaOptionalOf(TypeLiteral) at core/src/com/google/inject/multibindings/OptionalBinder.java:221}) PULL_UP({com.google.inject.internal.RealOptionalBinder javaOptionalOf(TypeLiteral)}  {com.google.inject.multibindings.OptionalBinder javaOptionalOf(TypeLiteral)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class ActualImpl at core/src/com/google/inject/internal/RealOptionalBinder.java:574}	{Class ActualImpl at core/src/com/google/inject/multibindings/OptionalBinder.java:707}) MOVE({com.google.inject.internal.RealOptionalBinder ActualImpl}  {com.google.inject.multibindings.OptionalBinder ActualImpl}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class OptionalBinderTest at core/test/com/google/inject/internal/OptionalBinderTest.java:70}	{Class OptionalBinderTest at core/test/com/google/inject/multibindings/OptionalBinderTest.java:71}) MOVE({com.google.inject.internal.OptionalBinderTest}  {com.google.inject.multibindings.OptionalBinderTest}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method providerOf(Key) at core/src/com/google/inject/internal/RealOptionalBinder.java:134}	{Method providerOf(Key) at core/src/com/google/inject/multibindings/OptionalBinder.java:254}) PULL_UP({com.google.inject.internal.RealOptionalBinder providerOf(Key)}  {com.google.inject.multibindings.OptionalBinder providerOf(Key)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method mapOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/internal/RealMapBinder.java:121}	{Method mapOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/multibindings/MapBinder.java:209}) PULL_UP({com.google.inject.internal.RealMapBinder mapOfProviderOf(TypeLiteral  TypeLiteral)}  {com.google.inject.multibindings.MapBinder mapOfProviderOf(TypeLiteral  TypeLiteral)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class PermitDuplicatesModule at core/src/com/google/inject/internal/RealMultibinder.java:348}	{Class PermitDuplicatesModule at core/src/com/google/inject/multibindings/Multibinder.java:505}) MOVE({com.google.inject.internal.RealMultibinder PermitDuplicatesModule}  {com.google.inject.multibindings.Multibinder PermitDuplicatesModule}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Method checkConfiguration(boolean  String  Object[]) at core/src/com/google/inject/internal/Errors.java:111}	{Method checkConfiguration(boolean  String  Object[]) at core/src/com/google/inject/multibindings/Multibinder.java:531}) MOVE({com.google.inject.internal.Errors checkConfiguration(boolean  String  Object[])}  {com.google.inject.multibindings.Multibinder checkConfiguration(boolean  String  Object[])}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method mapOfSetOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/internal/RealMapBinder.java:137}	{Method mapOfSetOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/multibindings/MapBinder.java:225}) PULL_UP({com.google.inject.internal.RealMapBinder mapOfSetOfProviderOf(TypeLiteral  TypeLiteral)}  {com.google.inject.multibindings.MapBinder mapOfSetOfProviderOf(TypeLiteral  TypeLiteral)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class AnnotationOrError at core/src/com/google/inject/internal/MultibindingsMethodScanner.java:90}	{Class AnnotationOrError at core/src/com/google/inject/multibindings/MultibindingsScanner.java:115}) MOVE({com.google.inject.internal.MultibindingsMethodScanner AnnotationOrError}  {com.google.inject.multibindings.MultibindingsScanner AnnotationOrError}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Method newRealMapBinder(Binder  TypeLiteral  TypeLiteral  Key  RealMultibinder) at core/src/com/google/inject/internal/RealMapBinder.java:199}	{Method newRealMapBinder(Binder  TypeLiteral  TypeLiteral  Key  Multibinder) at core/src/com/google/inject/multibindings/MapBinder.java:287}) MOVE({com.google.inject.internal.RealMapBinder newRealMapBinder(Binder  TypeLiteral  TypeLiteral  Key  RealMultibinder)}  {com.google.inject.multibindings.MapBinder newRealMapBinder(Binder  TypeLiteral  TypeLiteral  Key  Multibinder)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,PULL_UP, PULL_UP	{Method mapOfCollectionOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/internal/RealMapBinder.java:151}	{Method mapOfCollectionOfProviderOf(TypeLiteral  TypeLiteral) at core/src/com/google/inject/multibindings/MapBinder.java:239}) PULL_UP({com.google.inject.internal.RealMapBinder mapOfCollectionOfProviderOf(TypeLiteral  TypeLiteral)}  {com.google.inject.multibindings.MapBinder mapOfCollectionOfProviderOf(TypeLiteral  TypeLiteral)}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class RealOptionalBinder at core/src/com/google/inject/internal/RealOptionalBinder.java:59}	{Class RealOptionalBinder at core/src/com/google/inject/multibindings/OptionalBinder.java:293}) MOVE({com.google.inject.internal.RealOptionalBinder}  {com.google.inject.multibindings.OptionalBinder RealOptionalBinder}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class Indexer at core/src/com/google/inject/internal/Indexer.java:39}	{Class Indexer at core/src/com/google/inject/multibindings/Indexer.java:39}) MOVE({com.google.inject.internal.Indexer}  {com.google.inject.multibindings.Indexer}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class Collector at core/test/com/google/inject/internal/Collector.java:25}	{Class Collector at core/test/com/google/inject/multibindings/Collector.java:21}) MOVE({com.google.inject.internal.Collector}  {com.google.inject.multibindings.Collector}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class DefaultImpl at core/src/com/google/inject/internal/RealOptionalBinder.java:568}	{Class DefaultImpl at core/src/com/google/inject/multibindings/OptionalBinder.java:701}) MOVE({com.google.inject.internal.RealOptionalBinder DefaultImpl}  {com.google.inject.multibindings.OptionalBinder DefaultImpl}),
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE, MOVE	{Class SpiUtils at core/test/com/google/inject/internal/SpiUtils.java:83}	{Class SpiUtils at core/test/com/google/inject/multibindings/SpiUtils.java:83}) MOVE({com.google.inject.internal.SpiUtils}  {com.google.inject.multibindings.SpiUtils}),
