Hash,Refatoração,Descrição
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(HttpURLConnection  Connection.Request  HttpConnection.Response) at src/main/java/org/jsoup/helper/HttpConnection.java:975}	{Method new(HttpURLConnection  HttpConnection.Request  HttpConnection.Response) at src/main/java/org/jsoup/helper/HttpConnection.java:1057}) CHANGE_SIGNATURE({org.jsoup.helper.HttpConnection Response new(HttpURLConnection  Connection.Request  HttpConnection.Response)}  {org.jsoup.helper.HttpConnection Response new(HttpURLConnection  HttpConnection.Request  HttpConnection.Response)}),
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(Connection.Request) at src/main/java/org/jsoup/helper/HttpConnection.java:745}	{Method execute(HttpConnection.Request) at src/main/java/org/jsoup/helper/HttpConnection.java:826}) CHANGE_SIGNATURE({org.jsoup.helper.HttpConnection Response execute(Connection.Request)}  {org.jsoup.helper.HttpConnection Response execute(HttpConnection.Request)}),
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(Connection.Request  Response) at src/main/java/org/jsoup/helper/HttpConnection.java:749}	{Method execute(HttpConnection.Request  Response) at src/main/java/org/jsoup/helper/HttpConnection.java:830}) CHANGE_SIGNATURE({org.jsoup.helper.HttpConnection Response execute(Connection.Request  Response)}  {org.jsoup.helper.HttpConnection Response execute(HttpConnection.Request  Response)}),
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,EXTRACT_MOVE, EXTRACT_MOVE	{Method join(Iterator  String) at src/main/java/org/jsoup/internal/StringUtil.java:32}	{Method complete() at src/main/java/org/jsoup/internal/StringUtil.java:106}) EXTRACT_MOVE({org.jsoup.internal.StringUtil join(Iterator  String)}  {org.jsoup.internal.StringUtil StringJoiner complete()}),
105f7bdcdbfffc879d0737cf857c02b6823b1b73,MOVE, MOVE	{Class StringUtil at src/main/java/org/jsoup/helper/StringUtil.java:10}	{Class StringUtil at src/main/java/org/jsoup/internal/StringUtil.java:12}) MOVE({org.jsoup.helper.StringUtil}  {org.jsoup.internal.StringUtil}),
105f7bdcdbfffc879d0737cf857c02b6823b1b73,MOVE, MOVE	{Class StringUtilTest at src/test/java/org/jsoup/helper/StringUtilTest.java:13}	{Class StringUtilTest at src/test/java/org/jsoup/internal/StringUtilTest.java:14}) MOVE({org.jsoup.helper.StringUtilTest}  {org.jsoup.internal.StringUtilTest}),
a049edcdae373ef6c24747845adb846d1298cb72,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertForm(Token.StartTag  boolean) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:261}	{Method insertForm(Token.StartTag  boolean  boolean) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:266}) CHANGE_SIGNATURE({org.jsoup.parser.HtmlTreeBuilder insertForm(Token.StartTag  boolean)}  {org.jsoup.parser.HtmlTreeBuilder insertForm(Token.StartTag  boolean  boolean)}),
a049edcdae373ef6c24747845adb846d1298cb72,RENAME, RENAME	{Method isElementInQueue(ArrayList  Element) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:325}	{Method onStack(ArrayList  Element) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:339}) RENAME({org.jsoup.parser.HtmlTreeBuilder isElementInQueue(ArrayList  Element)}  {org.jsoup.parser.HtmlTreeBuilder onStack(ArrayList  Element)}),
6d48703a9f290d83576241e65af12ee0327818a6,EXTRACT, EXTRACT	{Method appendElement(String) at src/main/java/org/jsoup/nodes/Element.java:674}	{Method appendElement(String  String) at src/main/java/org/jsoup/nodes/Element.java:710}) EXTRACT({org.jsoup.nodes.Element appendElement(String)}  {org.jsoup.nodes.Element appendElement(String  String)}),
6d48703a9f290d83576241e65af12ee0327818a6,EXTRACT, EXTRACT	{Method prependElement(String) at src/main/java/org/jsoup/nodes/Element.java:687}	{Method prependElement(String  String) at src/main/java/org/jsoup/nodes/Element.java:727}) EXTRACT({org.jsoup.nodes.Element prependElement(String)}  {org.jsoup.nodes.Element prependElement(String  String)}),
6d48703a9f290d83576241e65af12ee0327818a6,EXTRACT, EXTRACT	{Method tagName(String) at src/main/java/org/jsoup/nodes/Element.java:166}	{Method tagName(String  String) at src/main/java/org/jsoup/nodes/Element.java:189}) EXTRACT({org.jsoup.nodes.Element tagName(String)}  {org.jsoup.nodes.Element tagName(String  String)}),
6d48703a9f290d83576241e65af12ee0327818a6,EXTRACT, EXTRACT	{Method valueOf(String  ParseSettings) at src/main/java/org/jsoup/parser/Tag.java:49}	{Method valueOf(String  String  ParseSettings) at src/main/java/org/jsoup/parser/Tag.java:55}) EXTRACT({org.jsoup.parser.Tag valueOf(String  ParseSettings)}  {org.jsoup.parser.Tag valueOf(String  String  ParseSettings)}),
6d48703a9f290d83576241e65af12ee0327818a6,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String) at src/main/java/org/jsoup/parser/Tag.java:27}	{Method new(String  String) at src/main/java/org/jsoup/parser/Tag.java:28}) CHANGE_SIGNATURE({org.jsoup.parser.Tag new(String)}  {org.jsoup.parser.Tag new(String  String)}),
fd46489cd718ddea7b28f89953265e7ce4ec8372,MOVE, MOVE	{Method ignoresExceptionIfSoConfigured() at src/test/java/org/jsoup/integration/UrlConnectTest.java:166}	{Method ignoresExceptionIfSoConfigured() at src/test/java/org/jsoup/integration/ConnectTest.java:111}) MOVE({org.jsoup.integration.UrlConnectTest ignoresExceptionIfSoConfigured()}  {org.jsoup.integration.ConnectTest ignoresExceptionIfSoConfigured()}),
fd46489cd718ddea7b28f89953265e7ce4ec8372,RENAME, RENAME	{Method fetchURIWithWihtespace() at src/test/java/org/jsoup/integration/ConnectTest.java:66}	{Method fetchURIWithWhitespace() at src/test/java/org/jsoup/integration/ConnectTest.java:67}) RENAME({org.jsoup.integration.ConnectTest fetchURIWithWihtespace()}  {org.jsoup.integration.ConnectTest fetchURIWithWhitespace()}),
401c8b010e01a03d5af00b88387e0dc3a8c1c8a4,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method dropsDuplicateAttributes() at src/test/java/org/jsoup/parser/HtmlParserTest.java:49}	{Method dropsDuplicateAttributes(String  String) at src/test/java/org/jsoup/parser/HtmlParserTest.java:52}) CHANGE_SIGNATURE({org.jsoup.parser.HtmlParserTest dropsDuplicateAttributes()}  {org.jsoup.parser.HtmlParserTest dropsDuplicateAttributes(String  String)}),
401c8b010e01a03d5af00b88387e0dc3a8c1c8a4,EXTRACT, EXTRACT	{Method insert(Token.StartTag) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:229}	{Method dedupeAttributes(StartTag) at src/main/java/org/jsoup/parser/HtmlTreeBuilder.java:342}) EXTRACT({org.jsoup.parser.HtmlTreeBuilder insert(Token.StartTag)}  {org.jsoup.parser.HtmlTreeBuilder dedupeAttributes(StartTag)}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,MOVE, MOVE	{Method matches(String) at src/main/java/org/jsoup/parser/Parser.java:240}	{Method matches(String) at src/main/java/org/jsoup/parser/TokenQueue.java:42}) MOVE({org.jsoup.parser.Parser matches(String)}  {org.jsoup.parser.TokenQueue matches(String)}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,MOVE, MOVE	{Method consume() at src/main/java/org/jsoup/parser/Parser.java:206}	{Method consume() at src/main/java/org/jsoup/parser/TokenQueue.java:75}) MOVE({org.jsoup.parser.Parser consume()}  {org.jsoup.parser.TokenQueue consume()}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,RENAME, RENAME	{Method testParsesSimpleDocument() at src/test/java/org/jsoup/parser/ParserTest.java:18}	{Method parsesSimpleDocument() at src/test/java/org/jsoup/parser/ParserTest.java:18}) RENAME({org.jsoup.parser.ParserTest testParsesSimpleDocument()}  {org.jsoup.parser.ParserTest parsesSimpleDocument()}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,MOVE, MOVE	{Method consumeTo(String) at src/main/java/org/jsoup/parser/Parser.java:182}	{Method consumeTo(String) at src/main/java/org/jsoup/parser/TokenQueue.java:100}) MOVE({org.jsoup.parser.Parser consumeTo(String)}  {org.jsoup.parser.TokenQueue consumeTo(String)}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,RENAME, RENAME	{Method testParsesComments() at src/test/java/org/jsoup/parser/ParserTest.java:39}	{Method parsesComments() at src/test/java/org/jsoup/parser/ParserTest.java:39}) RENAME({org.jsoup.parser.ParserTest testParsesComments()}  {org.jsoup.parser.ParserTest parsesComments()}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,MOVE, MOVE	{Method chompTo(String) at src/main/java/org/jsoup/parser/Parser.java:195}	{Method chompTo(String) at src/main/java/org/jsoup/parser/TokenQueue.java:113}) MOVE({org.jsoup.parser.Parser chompTo(String)}  {org.jsoup.parser.TokenQueue chompTo(String)}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,EXTRACT_MOVE, EXTRACT_MOVE	{Method parse() at src/main/java/org/jsoup/parser/Parser.java:45}	{Method isEmpty() at src/main/java/org/jsoup/parser/TokenQueue.java:26}) EXTRACT_MOVE({org.jsoup.parser.Parser parse()}  {org.jsoup.parser.TokenQueue isEmpty()}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,RENAME, RENAME	{Method testParsesRoughAttributes() at src/test/java/org/jsoup/parser/ParserTest.java:29}	{Method parsesRoughAttributes() at src/test/java/org/jsoup/parser/ParserTest.java:29}) RENAME({org.jsoup.parser.ParserTest testParsesRoughAttributes()}  {org.jsoup.parser.ParserTest parsesRoughAttributes()}),
03336ea9dd5d2aef2e31fe5e6402a04242f4d9f8,RENAME, RENAME	{Method parseText() at src/main/java/org/jsoup/parser/Parser.java:172}	{Method parseTextNode() at src/main/java/org/jsoup/parser/Parser.java:170}) RENAME({org.jsoup.parser.Parser parseText()}  {org.jsoup.parser.Parser parseTextNode()}),
328f2e4ea8edb4c993051ba6834f12cde513657e,EXTRACT, EXTRACT	{Method ensureArraysAreSorted() at src/test/java/org/jsoup/parser/HtmlTreeBuilderStateTest.java:11}	{Method ensureSorted(List) at src/test/java/org/jsoup/parser/HtmlTreeBuilderStateTest.java:34}) EXTRACT({org.jsoup.parser.HtmlTreeBuilderStateTest ensureArraysAreSorted()}  {org.jsoup.parser.HtmlTreeBuilderStateTest ensureSorted(List)}),
2217137d9254f124e01aa935628a4076f7478995,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method matches() at src/main/java/org/jsoup/select/Selector.java:288}	{Method matches(boolean) at src/main/java/org/jsoup/select/Selector.java:294}) CHANGE_SIGNATURE({org.jsoup.select.Selector matches()}  {org.jsoup.select.Selector matches(boolean)}),
2217137d9254f124e01aa935628a4076f7478995,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method contains() at src/main/java/org/jsoup/select/Selector.java:279}	{Method contains(boolean) at src/main/java/org/jsoup/select/Selector.java:285}) CHANGE_SIGNATURE({org.jsoup.select.Selector contains()}  {org.jsoup.select.Selector contains(boolean)}),
