Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
491a9d75de45a103e7c80a01853a1e552f7316b4,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method generateCompensateStateInstanceId(StateInstance) at saga/seata-saga-engine-store/src/main/java/io/seata/saga/engine/store/db/DbAndReportTcStateLogStore.java:373}	{Method generateCompensateStateInstanceId(StateInstance  boolean) at saga/seata-saga-engine-store/src/main/java/io/seata/saga/engine/store/db/DbAndReportTcStateLogStore.java:384}) CHANGE_SIGNATURE({io.seata.saga.engine.store.db.DbAndReportTcStateLogStore generateCompensateStateInstanceId(StateInstance)}  {io.seata.saga.engine.store.db.DbAndReportTcStateLogStore generateCompensateStateInstanceId(StateInstance  boolean)}),
193a112ee3491351574b3f192aec21a4120252f9,RENAME, RENAME	{Method onEnd(GlobalSession) at server/src/main/java/io/seata/server/session/SessionLifecycleListener.java:83}	{Method onSuccessEnd(GlobalSession) at server/src/main/java/io/seata/server/session/SessionLifecycleListener.java:83}) RENAME({io.seata.server.session.SessionLifecycleListener onEnd(GlobalSession)}  {io.seata.server.session.SessionLifecycleListener onSuccessEnd(GlobalSession)}),
193a112ee3491351574b3f192aec21a4120252f9,RENAME, RENAME	{Method changeStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/GlobalSession.java:199}	{Method changeGlobalStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/GlobalSession.java:200}) RENAME({io.seata.server.session.GlobalSession changeStatus(GlobalStatus)}  {io.seata.server.session.GlobalSession changeGlobalStatus(GlobalStatus)}),
193a112ee3491351574b3f192aec21a4120252f9,RENAME, RENAME	{Method onEnd(GlobalSession) at server/src/main/java/io/seata/server/session/AbstractSessionManager.java:150}	{Method onSuccessEnd(GlobalSession) at server/src/main/java/io/seata/server/session/AbstractSessionManager.java:150}) RENAME({io.seata.server.session.AbstractSessionManager onEnd(GlobalSession)}  {io.seata.server.session.AbstractSessionManager onSuccessEnd(GlobalSession)}),
193a112ee3491351574b3f192aec21a4120252f9,RENAME, RENAME	{Method changeStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/SessionLifecycle.java:36}	{Method changeGlobalStatus(GlobalStatus) at server/src/main/java/io/seata/server/session/SessionLifecycle.java:36}) RENAME({io.seata.server.session.SessionLifecycle changeStatus(GlobalStatus)}  {io.seata.server.session.SessionLifecycle changeGlobalStatus(GlobalStatus)}),
186c8ac919c4732db73272ae7198685df0259114,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method put(String  String) at core/src/main/java/io/seata/core/context/ThreadLocalContextCore.java:32}	{Method put(String  Object) at core/src/main/java/io/seata/core/context/ThreadLocalContextCore.java:32}) CHANGE_SIGNATURE({io.seata.core.context.ThreadLocalContextCore put(String  String)}  {io.seata.core.context.ThreadLocalContextCore put(String  Object)}),
186c8ac919c4732db73272ae7198685df0259114,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method put(String  String) at core/src/main/java/io/seata/core/context/FastThreadLocalContextCore.java:39}	{Method put(String  Object) at core/src/main/java/io/seata/core/context/FastThreadLocalContextCore.java:39}) CHANGE_SIGNATURE({io.seata.core.context.FastThreadLocalContextCore put(String  String)}  {io.seata.core.context.FastThreadLocalContextCore put(String  Object)}),
fcdea0066895b53a09d559df08f2ccb792987cdd,EXTRACT_MOVE, EXTRACT_MOVE	{Method doGlobalCommit(GlobalSession  boolean) at server/src/main/java/com/alibaba/fescar/server/coordinator/DefaultCore.java:153}	{Method endCommitFailed(GlobalSession) at server/src/main/java/com/alibaba/fescar/server/session/SessionHelper.java:33}) EXTRACT_MOVE({com.alibaba.fescar.server.coordinator.DefaultCore doGlobalCommit(GlobalSession  boolean)}  {com.alibaba.fescar.server.session.SessionHelper endCommitFailed(GlobalSession)}),
fcdea0066895b53a09d559df08f2ccb792987cdd,MOVE_RENAME, MOVE_RENAME	{Method changeToRollbackFailedStatus(GlobalSession) at server/src/main/java/com/alibaba/fescar/server/coordinator/DefaultCore.java:319}	{Method endRollbackFailed(GlobalSession) at server/src/main/java/com/alibaba/fescar/server/session/SessionHelper.java:48}) MOVE_RENAME({com.alibaba.fescar.server.coordinator.DefaultCore changeToRollbackFailedStatus(GlobalSession)}  {com.alibaba.fescar.server.session.SessionHelper endRollbackFailed(GlobalSession)}),
fcdea0066895b53a09d559df08f2ccb792987cdd,EXTRACT_MOVE, EXTRACT_MOVE	{Method branchRegister(BranchType  String  String  String  String) at server/src/main/java/com/alibaba/fescar/server/coordinator/DefaultCore.java:58}	{Method newBranchByGlobal(GlobalSession  BranchType  String  String  String) at server/src/main/java/com/alibaba/fescar/server/session/SessionHelper.java:13}) EXTRACT_MOVE({com.alibaba.fescar.server.coordinator.DefaultCore branchRegister(BranchType  String  String  String  String)}  {com.alibaba.fescar.server.session.SessionHelper newBranchByGlobal(GlobalSession  BranchType  String  String  String)}),
