Hash,Refatoração,Descrição
239d3e684c3573f6512c9518a16ccc67292fcf53,RENAME, RENAME	{Class Application at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/Application.java:6}	{Class XxlJobExecutorApplication at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/XxlJobExecutorApplication.java:6}) RENAME({com.xxl.job.executor.Application}  {com.xxl.job.executor.XxlJobExecutorApplication}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method shardingJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:51}	{Method shardingJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:49}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob shardingJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob shardingJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method demoJobHandler2(String) at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:229}	{Method demoJobHandler2() at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:238}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler2(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler2()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method demoJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:36}	{Method demoJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:34}) CHANGE_SIGNATURE({com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_RENAME, MOVE_RENAME	{Method execute(String) at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/ShardingJobHandler.java:15}	{Method shardingJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java:47}) MOVE_RENAME({com.xuxueli.executor.sample.frameless.jobhandler.ShardingJobHandler execute(String)}  {com.xxl.job.executor.sample.frameless.jobhandler.SampleXxlJob shardingJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method commandJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:76}	{Method commandJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:73}) CHANGE_SIGNATURE({com.xxl.job.executor.service.jobhandler.SampleXxlJob commandJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob commandJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(String) at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/GlueJobHandler.java:24}	{Method execute() at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/GlueJobHandler.java:23}) CHANGE_SIGNATURE({com.xxl.job.core.handler.impl.GlueJobHandler execute(String)}  {com.xxl.job.core.handler.impl.GlueJobHandler execute()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_RENAME, MOVE_RENAME	{Method execute(String) at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/CommandJobHandler.java:18}	{Method commandJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java:71}) MOVE_RENAME({com.xuxueli.executor.sample.frameless.jobhandler.CommandJobHandler execute(String)}  {com.xxl.job.executor.sample.frameless.jobhandler.SampleXxlJob commandJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method shardingJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:51}	{Method shardingJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:49}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob shardingJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob shardingJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_RENAME, MOVE_RENAME	{Class HttpJobHandler at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/HttpJobHandler.java:14}	{Class SampleXxlJob at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java:17}) MOVE_RENAME({com.xuxueli.executor.sample.frameless.jobhandler.HttpJobHandler}  {com.xxl.job.executor.sample.frameless.jobhandler.SampleXxlJob}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(long  long  ReturnT) at xxl-job-core/src/main/java/com/xxl/job/core/biz/model/HandleCallbackParam.java:17}	{Method new(long  long  int  String) at xxl-job-core/src/main/java/com/xxl/job/core/biz/model/HandleCallbackParam.java:18}) CHANGE_SIGNATURE({com.xxl.job.core.biz.model.HandleCallbackParam new(long  long  ReturnT)}  {com.xxl.job.core.biz.model.HandleCallbackParam new(long  long  int  String)}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_RENAME, MOVE_RENAME	{Class XxlJobLogger at xxl-job-core/src/main/java/com/xxl/job/core/log/XxlJobLogger.java:14}	{Class XxlJobHelper at xxl-job-core/src/main/java/com/xxl/job/core/context/XxlJobHelper.java:14}) MOVE_RENAME({com.xxl.job.core.log.XxlJobLogger}  {com.xxl.job.core.context.XxlJobHelper}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method commandJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:76}	{Method commandJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:73}) CHANGE_SIGNATURE({com.xxl.job.executor.service.jobhandler.SampleXxlJob commandJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob commandJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(long  String  int  int) at xxl-job-core/src/main/java/com/xxl/job/core/context/XxlJobContext.java:32}	{Method new(long  String  String  int  int) at xxl-job-core/src/main/java/com/xxl/job/core/context/XxlJobContext.java:64}) CHANGE_SIGNATURE({com.xxl.job.core.context.XxlJobContext new(long  String  int  int)}  {com.xxl.job.core.context.XxlJobContext new(long  String  String  int  int)}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(String) at xxl-job-core/src/main/java/com/xxl/job/core/handler/IJobHandler.java:23}	{Method execute() at xxl-job-core/src/main/java/com/xxl/job/core/handler/IJobHandler.java:11}) CHANGE_SIGNATURE({com.xxl.job.core.handler.IJobHandler execute(String)}  {com.xxl.job.core.handler.IJobHandler execute()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Class FrameLessXxlJobConfig at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/config/FrameLessXxlJobConfig.java:15}	{Class FrameLessXxlJobConfig at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/config/FrameLessXxlJobConfig.java:13}) MOVE({com.xuxueli.executor.sample.frameless.config.FrameLessXxlJobConfig}  {com.xxl.job.executor.sample.frameless.config.FrameLessXxlJobConfig}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,RENAME, RENAME	{Method execute(String) at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/HttpJobHandler.java:21}	{Method httpJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java:118}) RENAME({com.xuxueli.executor.sample.frameless.jobhandler.HttpJobHandler execute(String)}  {com.xxl.job.executor.sample.frameless.jobhandler.SampleXxlJob httpJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Class FramelessApplication at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/FramelessApplication.java:9}	{Class FramelessApplication at xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/FramelessApplication.java:9}) MOVE({com.xuxueli.executor.sample.frameless.FramelessApplication}  {com.xxl.job.executor.sample.frameless.FramelessApplication}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method demoJobHandler2(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:223}	{Method demoJobHandler2() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:238}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler2(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler2()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method httpJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:122}	{Method httpJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:120}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(String) at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/MethodJobHandler.java:27}	{Method execute() at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/MethodJobHandler.java:25}) CHANGE_SIGNATURE({com.xxl.job.core.handler.impl.MethodJobHandler execute(String)}  {com.xxl.job.core.handler.impl.MethodJobHandler execute()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(String) at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/ScriptJobHandler.java:48}	{Method execute() at xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/ScriptJobHandler.java:47}) CHANGE_SIGNATURE({com.xxl.job.core.handler.impl.ScriptJobHandler execute(String)}  {com.xxl.job.core.handler.impl.ScriptJobHandler execute()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method demoJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:36}	{Method demoJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:34}) CHANGE_SIGNATURE({com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob demoJobHandler()}),
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method httpJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:116}	{Method httpJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:120}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler()}),
c1363c7567a688ca8193de6effe9e4ac491a0a31,EXTRACT_MOVE, EXTRACT_MOVE	{Method executeInternal(JobExecutionContext) at xxl-job-admin/src/main/java/com/xxl/job/service/job/RemoteHttpJobBean.java:34}	{Method addressToUrl(String) at xxl-job-client/src/main/java/com/xxl/job/client/util/HttpUtil.java:120}) EXTRACT_MOVE({com.xxl.job.service.job.RemoteHttpJobBean executeInternal(JobExecutionContext)}  {com.xxl.job.client.util.HttpUtil addressToUrl(String)}),
54fce811ebd1d1d4dd179db933cc4f18ce80c787,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addTrigger(int  int  TriggerTypeEnum) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}	{Method addTrigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}) CHANGE_SIGNATURE({com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  int  TriggerTypeEnum)}  {com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  TriggerTypeEnum  int  String)}),
