Hash,Refatoração,Descrição
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to AStar_GridHeuristic.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to BreadthFirstSearchAdjacencyListIterative.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to BreadthFirstSearchAdjacencyListIterativeFastQueue.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to ConnectedComponentsAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to DepthFirstSearchAdjacencyListIterative.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to DepthFirstSearchAdjacencyListIterativeFastStack.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to DepthFirstSearchAdjacencyListRecursive.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to DijkstrasShortestPathAllNodesAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to EagerPrimsAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to GraphDiameter.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	UnionFind moved to KruskalsEdgeList.UnionFind
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to KruskalsEdgeList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to LazyPrimsAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to LazyPrimsAdjacencyMatrix.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to BipartiteGraphCheckAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Edge moved to TarjanAdjacencyList.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Tarjan moved to TarjanAdjacencyList.Tarjan
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	Tarjan moved to TarjanAdjacencyMatrix.Tarjan
eb6b3c4ff2094b9f22523482031f81276e0a892d,MOVE_CLASS, Move Class Move Class	TreeNode moved to TreeCanonicalFormAdjacencyList.TreeNode
eb6b3c4ff2094b9f22523482031f81276e0a892d,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	public to package in class TreeCenter
eb6b3c4ff2094b9f22523482031f81276e0a892d,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class AStar_GridHeuristic.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class BreadthFirstSearchAdjacencyListIterative.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class BreadthFirstSearchAdjacencyListIterativeFastQueue.Edge
eb6b3c4ff2094b9f22523482031f81276e0a892d,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class ConnectedComponentsAdjacencyList.Edge
