Hash,Refatoração,Descrição
0153548c307416f90035b4e5010b52fc7e61ba81,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private stringCount : int from class org.jf.dexlib2.dexbacked.DexBackedDexFile
0153548c307416f90035b4e5010b52fc7e61ba81,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private typeCount : int from class org.jf.dexlib2.dexbacked.DexBackedDexFile
0153548c307416f90035b4e5010b52fc7e61ba81,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private protoCount : int from class org.jf.dexlib2.dexbacked.DexBackedDexFile
0153548c307416f90035b4e5010b52fc7e61ba81,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private fieldCount : int from class org.jf.dexlib2.dexbacked.DexBackedDexFile
0153548c307416f90035b4e5010b52fc7e61ba81,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private methodCount : int from class org.jf.dexlib2.dexbacked.DexBackedDexFile
f9c091f54b951a308d29c3ab4fab24e67c20d59f,EXTRACT_OPERATION, Extract Method Extract Method	private getMinSdkVersionFromAndroidCodename(meta MetaInfo  sdkVersion String) : int extracted from public build(appDir ExtFile  outFile File) : void in class brut.androlib.Androlib
f9c091f54b951a308d29c3ab4fab24e67c20d59f,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	minSdkVersion : String to sdkVersion : String in method private getMinSdkVersionFromAndroidCodename(meta MetaInfo  sdkVersion String) : int from class brut.androlib.Androlib
d42798fd92dbbc170b17e4b6ab5d4410cfe735df,MOVE_RENAME_CLASS, Move And Rename Class Move And Rename Class	brut.androlib.res.decoder.ResXmlSerializer moved and renamed to brut.androlib.res.util.ExtMXSerializer
d42798fd92dbbc170b17e4b6ab5d4410cfe735df,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	xmlSerializer : ResXmlSerializer to xmlSerializer : ExtMXSerializer in method public decode(resTable ResTable  apkFile File  outDir File) : void from class brut.androlib.res.AndrolibResources
d42798fd92dbbc170b17e4b6ab5d4410cfe735df,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	serial : ResXmlSerializer to serial : ExtMXSerializer in method public getResXmlSerializer() : ExtMXSerializer from class brut.androlib.res.AndrolibResources
d42798fd92dbbc170b17e4b6ab5d4410cfe735df,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	ResXmlSerializer to ExtMXSerializer in method public getResXmlSerializer() : ExtMXSerializer from class brut.androlib.res.AndrolibResources
5fa3c2d2972b414fdfa5f8461927d4cbb21e3507,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private OS : String from class brut.util.OSDetection
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	apkFileSystem : URI to apkPath : Path in method private insertFile(apkPath Path  zip_properties Map<String String>  insert File  method String  location Path) : void from class brut.androlib.Androlib
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,RENAME_PARAMETER, Rename Parameter Rename Parameter	apkFileSystem : URI to apkPath : Path in method private insertFile(apkPath Path  zip_properties Map<String String>  insert File  method String  location Path) : void from class brut.androlib.Androlib
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	apkFileSystem : URI to apkPath : Path in method private insertFolder(apkPath Path  zip_properties Map<String String>  insert File  method String  location Path) : void from class brut.androlib.Androlib
a031787eced0bc6b17ef8bd98d0b0cc7b755b0a9,RENAME_PARAMETER, Rename Parameter Rename Parameter	apkFileSystem : URI to apkPath : Path in method private insertFolder(apkPath Path  zip_properties Map<String String>  insert File  method String  location Path) : void from class brut.androlib.Androlib
f3582b60dbe029d21ee3376703ba58606b31a4ff,INLINE_OPERATION, Inline Method Inline Method	private insertFile(apkPath Path  zip_properties Map<String String>  insert File  method String  location Path) : void inlined to public buildUnknownFiles(appDir File  outFile File  meta Map<String Object>) : void in class brut.androlib.Androlib
4af9f005b1ee9c63d82834215936b890282ad017,REMOVE_PARAMETER, Remove Parameter Remove Parameter	out9Patch : Directory in method public decode(res ResResource  inDir Directory  outDir Directory  out9Patch Directory) : void from class brut.androlib.res.decoder.ResFileDecoder
204b742cf0ecb958c9cbb9a1121e27219fcd17bb,REMOVE_PARAMETER, Remove Parameter Remove Parameter	resTable : ResTable in method public decodeUnknownFiles(apkFile ExtFile  outDir File  resTable ResTable) : void from class brut.androlib.Androlib
e3e2a7e1d67ac4431b8c9ae889ba28347f6a569d,EXTRACT_VARIABLE, Extract Variable Extract Variable	apkFile : ExtFile in method private cmdDecode(cli CommandLine  config Config) : void from class brut.apktool.Main
acc83919d0e1ecf1c2c77221a09e50bc72bef5c1,RENAME_METHOD, Rename Method Rename Method	private compareDrawable(path String) : void renamed to private compareBinaryFolder(path String  res boolean) : void in class brut.androlib.BuildAndDecodeTest
acc83919d0e1ecf1c2c77221a09e50bc72bef5c1,ADD_PARAMETER, Add Parameter Add Parameter	res : boolean in method private compareBinaryFolder(path String  res boolean) : void from class brut.androlib.BuildAndDecodeTest
