Hash,Refatoração,Descrição
94ff54dce96913705d461833827563f2bd667cda,EXTRACT_VARIABLE, Extract Variable Extract Variable	batchReturnType : Class<?> in method public create(proxy Object  collapserMethod Method  obj Object  args Object[]  joinPoint ProceedingJoinPoint) : MetaHolder from class com.netflix.hystrix.contrib.javanica.aop.aspectj.HystrixCommandAspect.CollapserMetaHolderFactory
94ff54dce96913705d461833827563f2bd667cda,EXTRACT_VARIABLE, Extract Variable Extract Variable	collapserMethodReturnType : Class<?> in method public create(proxy Object  collapserMethod Method  obj Object  args Object[]  joinPoint ProceedingJoinPoint) : MetaHolder from class com.netflix.hystrix.contrib.javanica.aop.aspectj.HystrixCommandAspect.CollapserMetaHolderFactory
94ff54dce96913705d461833827563f2bd667cda,ADD_VARIABLE_MODIFIER, Add Variable Modifier Add Variable Modifier	final in variable collapserMethodReturnType : Class<?> in method public create(proxy Object  collapserMethod Method  obj Object  args Object[]  joinPoint ProceedingJoinPoint) : MetaHolder from class com.netflix.hystrix.contrib.javanica.aop.aspectj.HystrixCommandAspect.CollapserMetaHolderFactory
94ff54dce96913705d461833827563f2bd667cda,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Object to ReturnType in method package abstract execute() : ReturnType from class com.netflix.hystrix.contrib.javanica.command.AbstractHystrixCommand.Action
94ff54dce96913705d461833827563f2bd667cda,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	result : Object to result : ReturnType in method package process(action Action<ReturnType>) : ReturnType from class com.netflix.hystrix.contrib.javanica.command.AbstractHystrixCommand
94ff54dce96913705d461833827563f2bd667cda,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	action : Action to action : Action<ReturnType> in method package process(action Action<ReturnType>) : ReturnType from class com.netflix.hystrix.contrib.javanica.command.AbstractHystrixCommand
94ff54dce96913705d461833827563f2bd667cda,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Object to ReturnType in method package process(action Action<ReturnType>) : ReturnType from class com.netflix.hystrix.contrib.javanica.command.AbstractHystrixCommand
94ff54dce96913705d461833827563f2bd667cda,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	collapsedRequests : Collection<HystrixCollapser.CollapsedRequest<Object Object>> to collapsedRequests : Collection<HystrixCollapser.CollapsedRequest<ResponseType Object>> in class com.netflix.hystrix.contrib.javanica.command.HystrixCommandBuilder.Builder
94ff54dce96913705d461833827563f2bd667cda,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	pCollapsedRequests : Collection<HystrixCollapser.CollapsedRequest<Object Object>> to pCollapsedRequests : Collection<HystrixCollapser.CollapsedRequest<ResponseType Object>> in method public collapsedRequests(pCollapsedRequests Collection<HystrixCollapser.CollapsedRequest<ResponseType Object>>) : Builder from class com.netflix.hystrix.contrib.javanica.command.HystrixCommandBuilder.Builder
94ff54dce96913705d461833827563f2bd667cda,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	collapsedRequests : Collection<HystrixCollapser.CollapsedRequest<Object Object>> to collapsedRequests : Collection<HystrixCollapser.CollapsedRequest<ResponseType Object>> in method public create(metaHolder MetaHolder  collapsedRequests Collection<HystrixCollapser.CollapsedRequest<ResponseType Object>>) : HystrixCommandBuilder from class com.netflix.hystrix.contrib.javanica.command.HystrixCommandBuilderFactory
1bd64e0abda9ada2e9a4a04fb35b45211387070e,EXTRACT_VARIABLE, Extract Variable Extract Variable	_cacheKey : String in method private toObservable(observeOn Scheduler  performAsyncTimeout boolean) : ObservableCommand<R> from class com.netflix.hystrix.HystrixCommand
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_CLASS, Rename Class Rename Class	com.netflix.hystrix.metric.HystrixCommandEventStream renamed to com.netflix.hystrix.metric.HystrixCommandStartStream
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_CLASS, Rename Class Rename Class	com.netflix.hystrix.metric.HystrixThreadPoolEventStream renamed to com.netflix.hystrix.metric.HystrixThreadPoolStartStream
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_CLASS, Rename Class Rename Class	com.netflix.hystrix.metric.RollingCommandConcurrencyStream renamed to com.netflix.hystrix.metric.RollingCommandMaxConcurrencyStream
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_CLASS, Rename Class Rename Class	com.netflix.hystrix.metric.HystrixCommandEventStreamTest renamed to com.netflix.hystrix.metric.HystrixCommandCompletionStreamTest
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_CLASS, Rename Class Rename Class	com.netflix.hystrix.metric.RollingCommandConcurrencyStreamTest renamed to com.netflix.hystrix.metric.RollingCommandMaxConcurrencyStreamTest
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	rollingCommandConcurrencyStream : RollingCommandConcurrencyStream to rollingCommandMaxConcurrencyStream : RollingCommandMaxConcurrencyStream in class com.netflix.hystrix.HystrixCommandMetrics
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	rollingCommandConcurrencyStream : RollingCommandConcurrencyStream to rollingCommandMaxConcurrencyStream : RollingCommandMaxConcurrencyStream in class com.netflix.hystrix.HystrixCommandMetrics
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	package to public in class com.netflix.hystrix.metric.HystrixCommandExecutionStarted
f76263dc76d9ec3c833a0b80499208784fe01f94,ADD_PARAMETER, Add Parameter Add Parameter	currentConcurrency : int in method public HystrixCommandExecutionStarted(commandKey HystrixCommandKey  threadPoolKey HystrixThreadPoolKey  isolationStrategy HystrixCommandProperties.ExecutionIsolationStrategy  currentConcurrency int) from class com.netflix.hystrix.metric.HystrixCommandExecutionStarted
f76263dc76d9ec3c833a0b80499208784fe01f94,INLINE_VARIABLE, Inline Variable Inline Variable	maxPerBucket : Observable<Integer> in method public call() : Observable<Integer> from class com.netflix.hystrix.metric.RollingConcurrencyStream.RollingConcurrencyStream.share.defer.new Func0<Observable<Integer>>
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_VARIABLE, Rename Variable Rename Variable	concurrencyEmitsOnEdges : Observable<Integer> to eventConcurrencyStream : Observable<Integer> in method public call() : Observable<Integer> from class com.netflix.hystrix.metric.RollingConcurrencyStream.RollingConcurrencyStream.share.defer.new Func0<Observable<Integer>>
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	inputEventStream : HystrixEventStream<HystrixCommandCompletion> to inputEventStream : HystrixEventStream<HystrixCommandExecutionStarted> in method protected RollingConcurrencyStream(inputEventStream HystrixEventStream<HystrixCommandExecutionStarted>  numBuckets int  bucketSizeInMs int) from class com.netflix.hystrix.metric.RollingConcurrencyStream
f76263dc76d9ec3c833a0b80499208784fe01f94,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	scanConcurrencyCount : Func2<Integer HystrixCommandCompletion Integer> to getConcurrencyCountFromEvent : Func1<HystrixCommandExecutionStarted Integer> in class com.netflix.hystrix.metric.RollingConcurrencyStream
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	scanConcurrencyCount : Func2<Integer HystrixCommandCompletion Integer> to getConcurrencyCountFromEvent : Func1<HystrixCommandExecutionStarted Integer> in class com.netflix.hystrix.metric.RollingConcurrencyStream
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	readCommandStream : HystrixCommandEventStream to readCommandStream : HystrixCommandCompletionStream in class com.netflix.hystrix.metric.HystrixThreadEventStreamTest
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	readThreadPoolStream : HystrixThreadPoolEventStream to readThreadPoolStream : HystrixThreadPoolCompletionStream in class com.netflix.hystrix.metric.HystrixThreadEventStreamTest
f76263dc76d9ec3c833a0b80499208784fe01f94,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	writeOnlySubject : Subject<HystrixCommandCompletion HystrixCommandCompletion> to writeOnlySubject : Subject<HystrixCommandExecutionStarted HystrixCommandExecutionStarted> in class com.netflix.hystrix.metric.HystrixCommandStartStream
