Hash,Refatoração,Descrição
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT_OPERATION, Extract Method Extract Method	protected getTypeName(objClass Class<?>) : String extracted from public inspect(object Object  expand int) : ObjectVO in class com.taobao.arthas.core.util.object.ObjectInspector
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT_OPERATION, Extract Method Extract Method	protected getTypeName(objClass Class<?>) : String extracted from private inspectObject0(obj Object  deep int  expand int) : ObjectVO in class com.taobao.arthas.core.util.object.ObjectInspector
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT_OPERATION, Extract Method Extract Method	protected getTypeName(objClass Class<?>) : String extracted from private inspectObject0(obj Object  deep int  expand int) : ObjectVO in class com.taobao.arthas.core.util.object.ObjectInspector
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT_VARIABLE, Extract Variable Extract Variable	type : String in method private render(vo ObjectVO  deep int  sb StringBuffer) : void from class com.taobao.arthas.core.util.object.ObjectRenderer
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT_OPERATION, Extract Method Extract Method	private newInspector() : ObjectInspector extracted from private inspectObject(object Object  expand int) : ObjectVO in class com.taobao.arthas.core.model.ObjectRenderTest
dc507df175c615458deb976346208bb9310fcd16,EXTRACT_OPERATION, Extract Method Extract Method	public decompile(classFilePath String  methodName String  hideUnicode boolean  printLineNumber boolean) : String extracted from public decompile(classFilePath String  methodName String  hideUnicode boolean) : String in class com.taobao.arthas.core.util.Decompiler
dc507df175c615458deb976346208bb9310fcd16,ADD_PARAMETER_MODIFIER, Add Parameter Modifier Add Parameter Modifier	final in parameter sinkClass : SinkClass in method public getSink(sinkType SinkType  sinkClass SinkClass) : Sink<T> from class com.taobao.arthas.core.util.Decompiler.decompile.mySink.new OutputSinkFactory
dc507df175c615458deb976346208bb9310fcd16,RENAME_VARIABLE, Rename Variable Rename Variable	result : StringBuilder to sb : StringBuilder in method public decompile(classFilePath String  methodName String  hideUnicode boolean  printLineNumber boolean) : String from class com.taobao.arthas.core.util.Decompiler
e629ce72c2021ff262dde18e363e3a9859ffb5d3,MOVE_AND_RENAME_OPERATION, Move And Rename Method Move And Rename Method	private toCol(strings Collection<String>) : String from class com.taobao.arthas.core.command.monitor200.JvmCommand to private renderCollectionValue(strings Collection<String>) : String from class com.taobao.arthas.core.command.view.JvmView
e629ce72c2021ff262dde18e363e3a9859ffb5d3,MOVE_OPERATION, Move Method Move Method	private formatMemoryByte(bytes long) : String from class com.taobao.arthas.core.command.monitor200.JvmCommand to private formatMemoryByte(bytes long) : String from class com.taobao.arthas.core.command.view.JvmView
