Hash,Refatoração,Descrição
74890050d0c323877eb9c1e3dec128e989eb6ee8,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	pkHashConfig : Table<String String String> to pkHashConfig : Map<String String> in method public messagePartition(flatMessage FlatMessage  partitionsNum Integer  pkHashConfig Map<String String>) : FlatMessage[] from class com.alibaba.otter.canal.protocol.FlatMessage
74890050d0c323877eb9c1e3dec128e989eb6ee8,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	topic : KafkaProperties.Topic to canalDestination : KafkaProperties.CanalDestination in method public send(canalDestination KafkaProperties.CanalDestination  message Message  callback Callback) : void from class com.alibaba.otter.canal.kafka.CanalKafkaProducer
74890050d0c323877eb9c1e3dec128e989eb6ee8,RENAME_PARAMETER, Rename Parameter Rename Parameter	topic : KafkaProperties.Topic to canalDestination : KafkaProperties.CanalDestination in method public send(canalDestination KafkaProperties.CanalDestination  message Message  callback Callback) : void from class com.alibaba.otter.canal.kafka.CanalKafkaProducer
91ac0e30aa5ff41937a05077ace692847fae3e46,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private password : String from class com.alibaba.otter.canal.parse.driver.mysql.MysqlConnector
0a7251add08f927f76bc5170258c0662a9c38c82,RENAME_CLASS, Rename Class Rename Class	com.alibaba.otter.canal.client.adapter.support.CanalOuterAdapterConfiguration renamed to com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,RENAME_PARAMETER, Rename Parameter Rename Parameter	criteriaSql : String to task : String in method public etl(task String  params List<String>) : void from class com.alibaba.otter.canal.client.adapter.OuterAdapter
0a7251add08f927f76bc5170258c0662a9c38c82,ADD_PARAMETER, Add Parameter Add Parameter	params : List<String> in method public etl(task String  params List<String>) : void from class com.alibaba.otter.canal.client.adapter.OuterAdapter
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	outAdapters : List<CanalOuterAdapterConfiguration> to outAdapters : List<OuterAdapterConfig> in class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.AdapterGroup
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	List<CanalOuterAdapterConfiguration> to List<OuterAdapterConfig> in method public getOutAdapters() : List<OuterAdapterConfig> from class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.AdapterGroup
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	outAdapters : List<CanalOuterAdapterConfiguration> to outAdapters : List<OuterAdapterConfig> in method public setOutAdapters(outAdapters List<OuterAdapterConfig>) : void from class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.AdapterGroup
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	outAdapters : List<CanalOuterAdapterConfiguration> to outAdapters : List<OuterAdapterConfig> in class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.Group
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	List<CanalOuterAdapterConfiguration> to List<OuterAdapterConfig> in method public getOutAdapters() : List<OuterAdapterConfig> from class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.Group
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	outAdapters : List<CanalOuterAdapterConfiguration> to outAdapters : List<OuterAdapterConfig> in method public setOutAdapters(outAdapters List<OuterAdapterConfig>) : void from class com.alibaba.otter.canal.client.adapter.support.CanalClientConfig.Group
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	c : CanalOuterAdapterConfiguration to c : OuterAdapterConfig in method public init() : void from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterLoader
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	config : CanalOuterAdapterConfiguration to config : OuterAdapterConfig in method public init() : void from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterLoader
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	config : CanalOuterAdapterConfiguration to config : OuterAdapterConfig in method private loadConnector(config OuterAdapterConfig  canalOutConnectors List<OuterAdapter>) : void from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterLoader
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	c : CanalOuterAdapterConfiguration to c : OuterAdapterConfig in method public init() : void from class com.alibaba.otter.canal.adapter.launcher.loader.CanalAdapterLoader
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	config : CanalOuterAdapterConfiguration to config : OuterAdapterConfig in method private loadConnector(config OuterAdapterConfig  canalOutConnectors List<OuterAdapter>) : void from class com.alibaba.otter.canal.adapter.launcher.loader.CanalAdapterLoader
0a7251add08f927f76bc5170258c0662a9c38c82,REPLACE_ANONYMOUS_WITH_LAMBDA, Replace Anonymous With Lambda Replace Anonymous With Lambda	com.alibaba.otter.canal.adapter.launcher.loader.CanalAdapterWorker.start.new Thread.new Runnable with () -> process() in method public start() : void from class com.alibaba.otter.canal.adapter.launcher.loader.CanalAdapterWorker
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	properties : Properties to properties : Map<String String> in class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Properties to Map<String String> in method public getProperties() : Map<String String> from class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	properties : Properties to properties : Map<String String> in method public setProperties(properties Map<String String>) : void from class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	configuration : CanalOuterAdapterConfiguration to configuration : OuterAdapterConfig in method public init(configuration OuterAdapterConfig) : void from class com.alibaba.otter.canal.client.adapter.OuterAdapter
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	configuration : CanalOuterAdapterConfiguration to configuration : OuterAdapterConfig in method public init(configuration OuterAdapterConfig) : void from class com.alibaba.otter.canal.client.adapter.hbase.HbaseAdapter
bbb4c4347eaa9d0a56c55bad2fd50e9ef64dc1fa,MOVE_SOURCE_FOLDER, Move Source Folder Move Source Folder	client-adapter/adapter-launcher to client-adapter/launcher
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	private to public in class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package dest(dest String) : Builder from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
