Hash,Refatoração,Descrição
411c5c0b502401c7af381a64e94253972b7db5f2,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to package in method package deepCopy() : JsonArray from class com.google.gson.JsonArray
411c5c0b502401c7af381a64e94253972b7db5f2,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to package in method package abstract deepCopy() : JsonElement from class com.google.gson.JsonElement
411c5c0b502401c7af381a64e94253972b7db5f2,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to package in method package deepCopy() : JsonNull from class com.google.gson.JsonNull
411c5c0b502401c7af381a64e94253972b7db5f2,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to package in method package deepCopy() : JsonObject from class com.google.gson.JsonObject
411c5c0b502401c7af381a64e94253972b7db5f2,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to package in method package deepCopy() : JsonPrimitive from class com.google.gson.JsonPrimitive
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitArrayField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonArrayDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitCollectionField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonArrayDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitObjectField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonArrayDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitPrimitiveField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonArrayDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	fieldType : Type to typeOfF : Type in method public visitObjectField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonObjectDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitCollectionField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonObjectDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitArrayField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonObjectDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitPrimitiveField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonObjectDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitObjectField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonPrimitiveDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitCollectionField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonPrimitiveDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitArrayField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonPrimitiveDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	fType : Type in method public visitPrimitiveField(f Field  fType Type  obj Object) : void from class com.google.gson.JsonPrimitiveDeserializationVisitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	genericTypeOfCollection : Type to typeOfF : Type in method public visitCollectionField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.JsonSerializationVisitor
