Hash,Refatoração,Descrição
b5ec94a953eb64b773e56658f50e728f47519288,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@Deprecated in class com.google.inject.assistedinject.FactoryProvider
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MultibindingsMethodScanner.AnnotationOrError moved to com.google.inject.multibindings.MultibindingsScanner.AnnotationOrError
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MultibindingsMethodScanner.TypeAndValue moved to com.google.inject.multibindings.MultibindingsScanner.TypeAndValue
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealMultibinder.PermitDuplicatesModule moved to com.google.inject.multibindings.Multibinder.PermitDuplicatesModule
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealOptionalBinder.Source moved to com.google.inject.multibindings.OptionalBinder.Source
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealOptionalBinder.DefaultImpl moved to com.google.inject.multibindings.OptionalBinder.DefaultImpl
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealOptionalBinder.ActualImpl moved to com.google.inject.multibindings.OptionalBinder.ActualImpl
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealOptionalBinder.BaseAnnotation moved to com.google.inject.multibindings.OptionalBinder.BaseAnnotation
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module1 moved to com.google.inject.multibindings.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module1
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module2 moved to com.google.inject.multibindings.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module2
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module3 moved to com.google.inject.multibindings.MapBinderTest.testExhaustiveDuplicateErrorMessage.Module3
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest.testExhaustiveDuplicateErrorMessage.Main moved to com.google.inject.multibindings.MapBinderTest.testExhaustiveDuplicateErrorMessage.Main
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest.testMapBinderMapDoesNotDedupeDuplicateValues.ValueType moved to com.google.inject.multibindings.MapBinderTest.testMapBinderMapDoesNotDedupeDuplicateValues.ValueType
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MultibinderTest.testMultibinderSetShowsBothElementsIfToStringDifferent.ValueType moved to com.google.inject.multibindings.MultibinderTest.testMultibinderSetShowsBothElementsIfToStringDifferent.ValueType
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealMapBinder moved to com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealMultibinder moved to com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealOptionalBinder moved to com.google.inject.multibindings.OptionalBinder.RealOptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealElement moved to com.google.inject.multibindings.RealElement
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.Collector moved to com.google.inject.multibindings.Collector
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MapBinderTest moved to com.google.inject.multibindings.MapBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.MultibinderTest moved to com.google.inject.multibindings.MultibinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.OptionalBinderTest moved to com.google.inject.multibindings.OptionalBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.RealElementTest moved to com.google.inject.multibindings.RealElementTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.SpiUtils moved to com.google.inject.multibindings.SpiUtils
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_CLASS, Move Class Move Class	com.google.inject.internal.Indexer moved to com.google.inject.multibindings.Indexer
