Hash,Refatoração,Descrição
0d509f94b7da3189b37b74b7e85a9b2cc20291ae,EXTRACT_VARIABLE, Extract Variable Extract Variable	argType : ArgType in method private replaceConst(mth MethodNode  constInsn InsnNode  literal long) : boolean from class jadx.core.dex.visitors.ConstInlineVisitor
0d509f94b7da3189b37b74b7e85a9b2cc20291ae,EXTRACT_VARIABLE, Extract Variable Extract Variable	resultType : ArgType in method public process(mth MethodNode  insn InsnNode) : boolean from class jadx.core.dex.visitors.typeinference.PostTypeInference
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.api.impl.passes.DecompilePassWrapper
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.api.impl.passes.PreparePassWrapper
a992c931980836be1fd87145cc8ee89e1d8d46ad,ADD_PARAMETER_ANNOTATION, Add Parameter Annotation Add Parameter Annotation	@Nullable in parameter currentPlugin : JadxPlugin in method public setCurrentPlugin(currentPlugin JadxPlugin) : void from class jadx.api.impl.plugins.PluginsContext
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.deobf.DeobfuscatorVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.deobf.SaveDeobfMapping
a992c931980836be1fd87145cc8ee89e1d8d46ad,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private preDecompilePasses : List<IDexTreeVisitor> from class jadx.core.dex.nodes.RootNode
a992c931980836be1fd87145cc8ee89e1d8d46ad,EXTRACT_OPERATION, Extract Method Extract Method	public getName() : String extracted from public toString() : String in class jadx.core.dex.visitors.AbstractVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,ADD_PARAMETER, Add Parameter Add Parameter	name : String in method public MethodVisitor(name String  visitor Consumer<MethodNode>) from class jadx.core.dex.visitors.MethodVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.OverrideMethodVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.ProcessAnonymous
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.ProcessMethodsForInline
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.SignatureProcessor
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.rename.RenameVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_METHOD, Rename Method Rename Method	public toString() : String renamed to public getName() : String in class jadx.core.dex.visitors.usage.UsageInfoVisitor
a992c931980836be1fd87145cc8ee89e1d8d46ad,INLINE_OPERATION, Inline Method Inline Method	private buildNamesMap(passes List<IDexTreeVisitor>) : Map<String Integer> inlined to private searchInsertPos(pass MergePass) : int in class jadx.core.utils.PassMerge
a992c931980836be1fd87145cc8ee89e1d8d46ad,RENAME_VARIABLE, Rename Variable Rename Variable	size : int to visitorsCount : int in method private searchInsertPos(pass MergePass) : int from class jadx.core.utils.PassMerge
