Hash,Refatoração,Descrição
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,EXTRACT_OPERATION, Extract Method Extract Method	private assertDockerInspect(imageReference String) : void extracted from public testSteps_forBuildToDockerRegistry() : void in class com.google.cloud.tools.jib.builder.BuildStepsIntegrationTest
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,EXTRACT_OPERATION, Extract Method Extract Method	private assertDockerInspect(imageReference String) : void extracted from public testSteps_forBuildToDockerDaemon() : void in class com.google.cloud.tools.jib.builder.BuildStepsIntegrationTest
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,EXTRACT_VARIABLE, Extract Variable Extract Variable	dockerContainerConfig : String in method private assertDockerInspect(imageReference String) : void from class com.google.cloud.tools.jib.builder.BuildStepsIntegrationTest
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,REPLACE_VARIABLE_WITH_ATTRIBUTE, Replace Variable With Attribute Replace Variable With Attribute	objectMapper : ObjectMapper to objectMapper : ObjectMapper in method package makeDockerfile() : String from class com.google.cloud.tools.jib.frontend.JavaDockerContextGenerator
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,REMOVE_ATTRIBUTE_ANNOTATION, Remove Attribute Annotation Remove Attribute Annotation	@Nullable in attribute private environment : Map<String String> from class com.google.cloud.tools.jib.maven.JibPluginConfiguration
499c3d6192b5039a677bb4ef2b4b057c30c5eb09,MOVE_ATTRIBUTE, Move Attribute Move Attribute	private environment : Map<String String> from class com.google.cloud.tools.jib.maven.JibPluginConfiguration to private environment : Map<String String> from class com.google.cloud.tools.jib.maven.JibPluginConfiguration.ContainerParameters
78dac4cea0211d98b66276e09008e0ba40b4e77e,ADD_THROWN_EXCEPTION_TYPE, Add Thrown Exception Type Add Thrown Exception Type	MojoFailureException in method public execute() : void from class com.google.cloud.tools.jib.maven.BuildDockerMojo
78dac4cea0211d98b66276e09008e0ba40b4e77e,ADD_THROWN_EXCEPTION_TYPE, Add Thrown Exception Type Add Thrown Exception Type	MojoFailureException in method public execute() : void from class com.google.cloud.tools.jib.maven.BuildTarMojo
9a607f61ebf5161197d31e0c1be7f9013b8addc8,MOVE_SOURCE_FOLDER, Move Source Folder Move Source Folder	crepecake/src to src
4fd4650c2a8fcb4b13b60bdd3ff9449235bf02e8,RENAME_VARIABLE, Rename Variable Rename Variable	errorCommand : List<String> to errorCmdCommand : List<String> in method public testRetrieve_cmdSuffixNotFoundOnWindows() : void from class com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest
4fd4650c2a8fcb4b13b60bdd3ff9449235bf02e8,RENAME_METHOD, Rename Method Rename Method	public testCredentialHelper() : void renamed to public testCredentialHelper_cmdExtension() : void in class com.google.cloud.tools.jib.plugins.common.DefaultCredentialRetrieversTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,MOVE_RENAME_CLASS, Move And Rename Class Move And Rename Class	com.google.cloud.tools.jib.blob.BlobWriter moved and renamed to com.google.cloud.tools.jib.hash.WritableContents
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_CLASS, Rename Class Rename Class	com.google.cloud.tools.jib.blob.WriterBlob renamed to com.google.cloud.tools.jib.blob.WritableContentsBlob
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	writer : BlobWriter to writable : WritableContents in method public from(writable WritableContents) : Blob from class com.google.cloud.tools.jib.blob.Blobs
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_PARAMETER, Rename Parameter Rename Parameter	writer : BlobWriter to writable : WritableContents in method public from(writable WritableContents) : Blob from class com.google.cloud.tools.jib.blob.Blobs
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_VARIABLE, Rename Variable Rename Variable	fileStream : InputStream to fileIn : InputStream in method public writeTo(outputStream OutputStream) : BlobDescriptor from class com.google.cloud.tools.jib.blob.FileBlob
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_VARIABLE, Rename Variable Rename Variable	stringInputStream : InputStream to stringIn : InputStream in method public writeTo(outputStream OutputStream) : BlobDescriptor from class com.google.cloud.tools.jib.blob.StringBlob
62ab86bdc096c3f9745b8bf991851550a9a4e904,INLINE_VARIABLE, Inline Variable Inline Variable	compressedBlobDescriptor : BlobDescriptor in method private writeUncompressedLayerBlobToDirectory(uncompressedLayerBlob Blob  layerDirectory Path) : WrittenLayer from class com.google.cloud.tools.jib.cache.CacheStorageWriter
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_METHOD, Rename Method Rename Method	public toBlobDescriptor() : BlobDescriptor renamed to public computeDigest() : void in class com.google.cloud.tools.jib.hash.CountingDigestOutputStream
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	BlobDescriptor to void in method public computeDigest() : void from class com.google.cloud.tools.jib.hash.CountingDigestOutputStream
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	totalBytes : long to bytesSoFar : long in class com.google.cloud.tools.jib.hash.CountingDigestOutputStream
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	body : BlobHttpContent to body : HttpContent in class com.google.cloud.tools.jib.http.Request.Builder
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	blobHttpContent : BlobHttpContent to httpContent : HttpContent in method public setBody(httpContent HttpContent) : Builder from class com.google.cloud.tools.jib.http.Request.Builder
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_PARAMETER, Rename Parameter Rename Parameter	blobHttpContent : BlobHttpContent to httpContent : HttpContent in method public setBody(httpContent HttpContent) : Builder from class com.google.cloud.tools.jib.http.Request.Builder
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	body : BlobHttpContent to body : HttpContent in class com.google.cloud.tools.jib.http.Request
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	BlobHttpContent to HttpContent in method package getHttpContent() : HttpContent from class com.google.cloud.tools.jib.http.Request
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_METHOD, Rename Method Rename Method	public testFromBlobWriter() : void renamed to public testFromWritableContents() : void in class com.google.cloud.tools.jib.blob.BlobTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	writer : BlobWriter to writableContents : WritableContents in method public testFromWritableContents() : void from class com.google.cloud.tools.jib.blob.BlobTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,RENAME_VARIABLE, Rename Variable Rename Variable	writer : BlobWriter to writableContents : WritableContents in method public testFromWritableContents() : void from class com.google.cloud.tools.jib.blob.BlobTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	DescriptorDigest to BlobDescriptor in method private getDigest(blob Blob) : BlobDescriptor from class com.google.cloud.tools.jib.cache.CacheStorageWriterTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,INLINE_VARIABLE, Inline Variable Inline Variable	expectedBlobDescriptor : BlobDescriptor in method public test_smokeTest() : void from class com.google.cloud.tools.jib.hash.CountingDigestOutputStreamTest
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public from(template JsonTemplate) : Blob extracted from public getContainerConfigurationBlob() : Blob in class com.google.cloud.tools.jib.image.json.ImageToJsonTranslator & moved to class com.google.cloud.tools.jib.blob.Blobs
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	private toUtf8String(template Object) : String extracted from public testToJson() : void in class com.google.cloud.tools.jib.image.json.ContainerConfigurationTemplateTest & moved to class com.google.cloud.tools.jib.json.JsonTemplateMapper
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	private toUtf8String(template Object) : String extracted from private testGetManifest(manifestTemplateClass Class<T>  translatedJsonFilename String) : void in class com.google.cloud.tools.jib.image.json.ImageToJsonTranslatorTest & moved to class com.google.cloud.tools.jib.json.JsonTemplateMapper
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	private toUtf8String(template Object) : String extracted from public testToJson() : void in class com.google.cloud.tools.jib.image.json.OCIManifestTemplateTest & moved to class com.google.cloud.tools.jib.json.JsonTemplateMapper
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	private toUtf8String(template Object) : String extracted from public testToJson() : void in class com.google.cloud.tools.jib.image.json.V22ManifestTemplateTest & moved to class com.google.cloud.tools.jib.json.JsonTemplateMapper
62ab86bdc096c3f9745b8bf991851550a9a4e904,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	private toUtf8String(template Object) : String extracted from public testWriteJson() : void in class com.google.cloud.tools.jib.json.JsonTemplateMapperTest & moved to class com.google.cloud.tools.jib.json.JsonTemplateMapper
