Hash,Refatoração,Descrição
0aa50cd30a0497208057581c79ce63df2053f1a4,EXTRACT_VARIABLE, Extract Variable Extract Variable	root : Element in method public descendant() : void from class org.jsoup.select.SelectorTest
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@SuppressWarnings("CharsetObjectCanBeUsed") in class org.jsoup.helper.DataUtil
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,ADD_PARAMETER_ANNOTATION, Add Parameter Annotation Add Parameter Annotation	@Nullable in parameter charsetName : String in method public load(in File  charsetName String  baseUri String) : Document from class org.jsoup.helper.DataUtil
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,ADD_VARIABLE_ANNOTATION, Add Variable Annotation Add Variable Annotation	@SuppressWarnings("UnnecessaryLocalVariable") in variable buffer : Buffer in method private detectCharsetFromBom(byteData ByteBuffer) : BomCharset from class org.jsoup.helper.DataUtil
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	req : Connection.Request to req : HttpConnection.Request in class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	req : Connection.Request to req : HttpConnection.Request in method package execute(req HttpConnection.Request) : Response from class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	req : Connection.Request to req : HttpConnection.Request in method package execute(req HttpConnection.Request  previousResponse Response) : Response from class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	req : Connection.Request to req : HttpConnection.Request in method private createConnection(req HttpConnection.Request) : HttpURLConnection from class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	request : Connection.Request to request : HttpConnection.Request in method private Response(conn HttpURLConnection  request HttpConnection.Request  previousResponse HttpConnection.Response) from class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	req : Connection.Request to req : HttpConnection.Request in class org.jsoup.helper.HttpConnection
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	strings : Collection to strings : Collection<?> in method public join(strings Collection<?>  sep String) : String from class org.jsoup.internal.StringUtil
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	strings : Iterator to strings : Iterator<?> in method public join(strings Iterator<?>  sep String) : String from class org.jsoup.internal.StringUtil
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,ADD_ATTRIBUTE_MODIFIER, Add Attribute Modifier Add Attribute Modifier	final in attribute private location : String from class org.jsoup.nodes.Document
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to package in method package write(w PrintWriter  key String  val String) : void from class org.jsoup.integration.servlets.EchoServlet
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	String to StringJoiner in method public add(stringy Object) : StringJoiner from class org.jsoup.internal.StringUtil.StringJoiner
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,RENAME_PARAMETER, Rename Parameter Rename Parameter	req : Connection.Request to stringy : Object in method public add(stringy Object) : StringJoiner from class org.jsoup.internal.StringUtil.StringJoiner
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	req : Connection.Request to stringy : Object in method public add(stringy Object) : StringJoiner from class org.jsoup.internal.StringUtil.StringJoiner
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public add(stringy Object) : StringJoiner from class org.jsoup.internal.StringUtil.StringJoiner
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,REMOVE_METHOD_MODIFIER, Remove Method Modifier Remove Method Modifier	static in method private getRequestCookieString(req Connection.Request) : String from class org.jsoup.helper.HttpConnection.Response
b431fb2dd002c0425d5938ca2ce4d1c967336a5b,MOVE_AND_RENAME_OPERATION, Move And Rename Method Move And Rename Method	private getRequestCookieString(req Connection.Request) : String from class org.jsoup.helper.HttpConnection.Response to public add(stringy Object) : StringJoiner from class org.jsoup.internal.StringUtil.StringJoiner
105f7bdcdbfffc879d0737cf857c02b6823b1b73,MOVE_CLASS, Move Class Move Class	org.jsoup.helper.StringUtilTest moved to org.jsoup.internal.StringUtilTest
105f7bdcdbfffc879d0737cf857c02b6823b1b73,MOVE_CLASS, Move Class Move Class	org.jsoup.helper.StringUtil moved to org.jsoup.internal.StringUtil
5ce24c28b6614c3f209bca93a1730e0c934926be,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Integer to int in method public siblingIndex() : int from class org.jsoup.nodes.Node
35285e1f7d19cbc8c67059237a5de62e0983a975,EXTRACT_VARIABLE, Extract Variable Extract Variable	rawStream : InputStream in method package execute(req Connection.Request  previousResponse Response) : Response from class org.jsoup.helper.HttpConnection.Response
a049edcdae373ef6c24747845adb846d1298cb72,RENAME_METHOD, Rename Method Rename Method	private isElementInQueue(queue ArrayList<Element>  element Element) : boolean renamed to private onStack(queue ArrayList<Element>  element Element) : boolean in class org.jsoup.parser.HtmlTreeBuilder
