Hash,Refatoração,Descrição
ed5ef7cc86ebad6cbd7ecad74ab77d59d23e93b3,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	adapterFactories : List<CallAdapter.Factory> to callAdapterFactories : List<CallAdapter.Factory> in class retrofit2.Retrofit.Builder
ed5ef7cc86ebad6cbd7ecad74ab77d59d23e93b3,RENAME_PARAMETER, Rename Parameter Rename Parameter	adapterFactories : List<CallAdapter.Factory> to callAdapterFactories : List<CallAdapter.Factory> in method package Retrofit(callFactory Call.Factory  baseUrl HttpUrl  converterFactories List<Converter.Factory>  callAdapterFactories List<CallAdapter.Factory>  callbackExecutor Executor  validateEagerly boolean) from class retrofit2.Retrofit
ed5ef7cc86ebad6cbd7ecad74ab77d59d23e93b3,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	adapterFactories : List<CallAdapter.Factory> to callAdapterFactories : List<CallAdapter.Factory> in class retrofit2.Retrofit
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,EXTRACT_OPERATION, Extract Method Extract Method	private checkPercentageValidity(percentage int  message String) : void extracted from public setVariancePercent(variancePercent int) : void in class retrofit2.mock.NetworkBehavior
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,EXTRACT_OPERATION, Extract Method Extract Method	private checkPercentageValidity(percentage int  message String) : void extracted from public setFailurePercent(failurePercent int) : void in class retrofit2.mock.NetworkBehavior
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,EXTRACT_OPERATION, Extract Method Extract Method	private checkPercentageValidity(percentage int  message String) : void extracted from public setErrorPercent(errorPercent int) : void in class retrofit2.mock.NetworkBehavior
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,RENAME_PARAMETER, Rename Parameter Rename Parameter	variancePercent : int to percentage : int in method private checkPercentageValidity(percentage int  message String) : void from class retrofit2.mock.NetworkBehavior
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,RENAME_PARAMETER, Rename Parameter Rename Parameter	failurePercent : int to percentage : int in method private checkPercentageValidity(percentage int  message String) : void from class retrofit2.mock.NetworkBehavior
39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,RENAME_PARAMETER, Rename Parameter Rename Parameter	errorPercent : int to percentage : int in method private checkPercentageValidity(percentage int  message String) : void from class retrofit2.mock.NetworkBehavior
fe022d0e9388cb45a3eba6357b23daf9708ef142,MOVE_SOURCE_FOLDER, Move Source Folder Move Source Folder	retrofit to retrofit-appengine
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_METHOD, Rename Method Rename Method	public setVariancePercentage(variancePct int) : void renamed to public setVariancePercent(variancePct int) : void in class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_METHOD, Rename Method Rename Method	public getVariancePercentage() : int renamed to public variancePercent() : int in class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_METHOD, Rename Method Rename Method	public setErrorPercentage(errorPct int) : void renamed to public setErrorPercent(errorPct int) : void in class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_METHOD, Rename Method Rename Method	public getErrorPercentage() : int renamed to public errorPercent() : int in class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,ADD_ATTRIBUTE_MODIFIER, Add Attribute Modifier Add Attribute Modifier	volatile in attribute private delayMs : int from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_VARIABLE, Rename Variable Rename Variable	errorPercent : float to delta : float in method public calculateDelayForCall() : int from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	executor : Executor to backgroundExecutor : ExecutorService in method public from(restAdapter Retrofit  backgroundExecutor ExecutorService) : MockRetrofit from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	restAdapter : RestAdapter to restAdapter : Retrofit in method public from(restAdapter Retrofit  backgroundExecutor ExecutorService) : MockRetrofit from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_PARAMETER, Rename Parameter Rename Parameter	executor : Executor to backgroundExecutor : ExecutorService in method public from(restAdapter Retrofit  backgroundExecutor ExecutorService) : MockRetrofit from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,RENAME_PARAMETER, Rename Parameter Rename Parameter	delayMs : long to amount : long in method public setDelay(amount long  unit TimeUnit) : void from class retrofit.MockRetrofit
0973ca61da4fb5d293e53c8334fe5f7ae3cfdfd2,ADD_PARAMETER, Add Parameter Add Parameter	unit : TimeUnit in method public setDelay(amount long  unit TimeUnit) : void from class retrofit.MockRetrofit
