Hash,Refatoração,Descrição
d1d345f52302a233ce2b1bc99803d601d2330ca6,CHANGE_THROWN_EXCEPTION_TYPE, Change Thrown Exception Type Change Thrown Exception Type	IOException to Throwable in method public main(args String[]) : void from class io.seata.server.ServerApplication
aeeda4202797a83d950db4c1a31656f60738648f,ADD_PARAMETER, Add Parameter Add Parameter	compressorType : CompressorType in method protected buildContext(serializer String  compressorType CompressorType) : String from class io.seata.rm.datasource.undo.AbstractUndoLogManager
aeeda4202797a83d950db4c1a31656f60738648f,ADD_THROWN_EXCEPTION_TYPE, Add Thrown Exception Type Add Thrown Exception Type	NoSuchFieldException in method public testFlushUndoLogs() : void from class io.seata.rm.datasource.undo.mysql.MySQLUndoLogManagerTest
aeeda4202797a83d950db4c1a31656f60738648f,ADD_PARAMETER, Add Parameter Add Parameter	undoCompressProperties : UndoCompressProperties in method public SeataAutoConfiguration(seataProperties SeataProperties  rmProperties RmProperties  tmProperties TmProperties  lockProperties LockProperties  serviceProperties ServiceProperties  shutdownProperties ShutdownProperties  threadFactoryProperties ThreadFactoryProperties  undoProperties UndoProperties  undoCompressProperties UndoCompressProperties  logProperties LogProperties  transportProperties TransportProperties  configProperties ConfigProperties  configFileProperties ConfigFileProperties  registryProperties RegistryProperties  configNacosProperties ConfigNacosProperties  configConsulProperties ConfigConsulProperties  configZooKeeperProperties ConfigZooKeeperProperties  configApolloProperties ConfigApolloProperties  configEtcd3Properties ConfigEtcd3Properties  configCustomProperties ConfigCustomProperties  registryConsulProperties RegistryConsulProperties  registryEtcd3Properties RegistryEtcd3Properties  registryEurekaProperties RegistryEurekaProperties  registryNacosProperties RegistryNacosProperties  registryRedisProperties RegistryRedisProperties  registrySofaProperties RegistrySofaProperties  registryZooKeeperProperties RegistryZooKeeperProperties  registryCustomProperties RegistryCustomProperties) from class io.seata.spring.boot.autoconfigure.SeataAutoConfiguration
aeeda4202797a83d950db4c1a31656f60738648f,REMOVE_METHOD_ANNOTATION, Remove Method Annotation Remove Method Annotation	@Override in method protected getRollbackInfo(rs ResultSet) : byte[] from class io.seata.rm.datasource.undo.postgresql.PostgresqlUndoLogManager
aeeda4202797a83d950db4c1a31656f60738648f,PULL_UP_OPERATION, Pull Up Method Pull Up Method	protected getRollbackInfo(rs ResultSet) : byte[] from class io.seata.rm.datasource.undo.postgresql.PostgresqlUndoLogManager to protected getRollbackInfo(rs ResultSet) : byte[] from class io.seata.rm.datasource.undo.AbstractUndoLogManager
491a9d75de45a103e7c80a01853a1e552f7316b4,ADD_PARAMETER, Add Parameter Add Parameter	isUpdateMode : boolean in method private generateCompensateStateInstanceId(stateInstance StateInstance  isUpdateMode boolean) : String from class io.seata.saga.engine.store.db.DbAndReportTcStateLogStore
193a112ee3491351574b3f192aec21a4120252f9,RENAME_METHOD, Rename Method Rename Method	public onEnd(globalSession GlobalSession) : void renamed to public onSuccessEnd(globalSession GlobalSession) : void in class io.seata.server.session.AbstractSessionManager
193a112ee3491351574b3f192aec21a4120252f9,RENAME_METHOD, Rename Method Rename Method	public changeStatus(status GlobalStatus) : void renamed to public changeGlobalStatus(status GlobalStatus) : void in class io.seata.server.session.GlobalSession
193a112ee3491351574b3f192aec21a4120252f9,RENAME_METHOD, Rename Method Rename Method	public changeStatus(status GlobalStatus) : void renamed to public changeGlobalStatus(status GlobalStatus) : void in class io.seata.server.session.SessionLifecycle
193a112ee3491351574b3f192aec21a4120252f9,RENAME_METHOD, Rename Method Rename Method	public onEnd(globalSession GlobalSession) : void renamed to public onSuccessEnd(globalSession GlobalSession) : void in class io.seata.server.session.SessionLifecycleListener
3e2c3486c39928613b3c0770e4a0f19cf03d8399,ADD_ATTRIBUTE_MODIFIER, Add Attribute Modifier Add Attribute Modifier	final in attribute protected WORKER_THREAD_SIZE : int from class io.seata.core.rpc.netty.NettyBaseConfig
3e2c3486c39928613b3c0770e4a0f19cf03d8399,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	lockHolder : ConcurrentMap<FileLocker.BucketLockMap Set<String>> to lockHolder : Map<FileLocker.BucketLockMap Set<String>> in class io.seata.server.session.BranchSession
3e2c3486c39928613b3c0770e4a0f19cf03d8399,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private lockHolder : Map<FileLocker.BucketLockMap Set<String>> from class io.seata.server.session.BranchSession
3e2c3486c39928613b3c0770e4a0f19cf03d8399,EXTRACT_ATTRIBUTE, Extract Attribute Extract Attribute	private lockManager : LockManager in class io.seata.server.session.BranchSession
3e2c3486c39928613b3c0770e4a0f19cf03d8399,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	ConcurrentMap<FileLocker.BucketLockMap Set<String>> to Map<FileLocker.BucketLockMap Set<String>> in method public getLockHolder() : Map<FileLocker.BucketLockMap Set<String>> from class io.seata.server.session.BranchSession
3e2c3486c39928613b3c0770e4a0f19cf03d8399,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	dbLockMap : ConcurrentMap<String ConcurrentMap<Integer BucketLockMap>> to dbLockMap : Map<String ConcurrentMap<Integer BucketLockMap>> in method public acquireLock(rowLocks List<RowLock>  autoCommit boolean  skipCheckLock boolean) : boolean from class io.seata.server.storage.file.lock.FileLocker
3e2c3486c39928613b3c0770e4a0f19cf03d8399,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	bucketHolder : ConcurrentMap<BucketLockMap Set<String>> to bucketHolder : Map<BucketLockMap Set<String>> in method public acquireLock(rowLocks List<RowLock>  autoCommit boolean  skipCheckLock boolean) : boolean from class io.seata.server.storage.file.lock.FileLocker
3e2c3486c39928613b3c0770e4a0f19cf03d8399,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	lockHolder : ConcurrentMap<BucketLockMap Set<String>> to lockHolder : Map<BucketLockMap Set<String>> in method public releaseLock(rowLock List<RowLock>) : boolean from class io.seata.server.storage.file.lock.FileLocker
23924bb4d03aa03310699ad9cef2047835ffb32a,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	DEFAULT_REDIS_SEATA_GLOBAL_PREFIX : String to DEFAULT_REDIS_SEATA_GLOBAL_SESSION_PREFIX : String in class io.seata.server.storage.redis.store.RedisTransactionStoreManager
59c64075be73aa48b5b964b6b1675e8b6f23f420,EXTRACT_OPERATION, Extract Method Extract Method	private buildBeforeImageSQL(visitor SQLDeleteRecognizer  tableMeta TableMeta  paramAppenders ArrayList<List<Object>>) : String extracted from protected beforeImage() : TableRecords in class io.seata.rm.datasource.exec.DeleteExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	columnSQL : StringJoiner to selectSQLAppender : StringJoiner in method private buildBeforeImageSQL(visitor SQLDeleteRecognizer  tableMeta TableMeta  paramAppenders ArrayList<List<Object>>) : String from class io.seata.rm.datasource.exec.DeleteExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,EXTRACT_OPERATION, Extract Method Extract Method	private buildSelectSQL(paramAppenders ArrayList<List<Object>>) : String extracted from public doExecute(args Object...) : T in class io.seata.rm.datasource.exec.SelectForUpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	selectPKSQL : String to selectSQL : String in method private buildSelectSQL(paramAppenders ArrayList<List<Object>>) : String from class io.seata.rm.datasource.exec.SelectForUpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,EXTRACT_OPERATION, Extract Method Extract Method	private buildBeforeImageSQL(tableMeta TableMeta  paramAppenders ArrayList<List<Object>>) : String extracted from protected beforeImage() : TableRecords in class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,EXTRACT_OPERATION, Extract Method Extract Method	private buildAfterImageSQL(tableMeta TableMeta  beforeImage TableRecords) : String extracted from protected afterImage(beforeImage TableRecords) : TableRecords in class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	selectSQLAppender : StringBuffer to selectSQLPrefix : StringBuffer in method private buildBeforeImageSQL(tableMeta TableMeta  paramAppenders ArrayList<List<Object>>) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	tmeta : TableMeta to tableMeta : TableMeta in method private buildBeforeImageSQL(tableMeta TableMeta  paramAppenders ArrayList<List<Object>>) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	selectSQLAppender : StringBuffer to selectSQLPrefix : StringBuffer in method private buildAfterImageSQL(tableMeta TableMeta  beforeImage TableRecords) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	tmeta : TableMeta to tableMeta : TableMeta in method private buildAfterImageSQL(tableMeta TableMeta  beforeImage TableRecords) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	selectSQL : String to prefix : String in method private buildAfterImageSQL(tableMeta TableMeta  beforeImage TableRecords) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,RENAME_VARIABLE, Rename Variable Rename Variable	columnsSQL : StringJoiner to selectSQLJoiner : StringJoiner in method private buildAfterImageSQL(tableMeta TableMeta  beforeImage TableRecords) : String from class io.seata.rm.datasource.exec.UpdateExecutor
59c64075be73aa48b5b964b6b1675e8b6f23f420,INLINE_VARIABLE, Inline Variable Inline Variable	pkRows : List<Field> in method protected afterImage(beforeImage TableRecords) : TableRecords from class io.seata.rm.datasource.exec.UpdateExecutor
186c8ac919c4732db73272ae7198685df0259114,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	String to Object in method public get(key String) : Object from class io.seata.core.context.ContextCore
186c8ac919c4732db73272ae7198685df0259114,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Nullable in method public get(key String) : Object from class io.seata.core.context.ContextCore
186c8ac919c4732db73272ae7198685df0259114,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	String to Object in method public remove(key String) : Object from class io.seata.core.context.ContextCore
186c8ac919c4732db73272ae7198685df0259114,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Nullable in method public remove(key String) : Object from class io.seata.core.context.ContextCore
186c8ac919c4732db73272ae7198685df0259114,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Map<String String> to Map<String Object> in method public entries() : Map<String Object> from class io.seata.core.context.ContextCore
186c8ac919c4732db73272ae7198685df0259114,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	fastThreadLocal : FastThreadLocal<Map<String String>> to fastThreadLocal : FastThreadLocal<Map<String Object>> in class io.seata.core.context.FastThreadLocalContextCore
186c8ac919c4732db73272ae7198685df0259114,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Map<String String> to Map<String Object> in method protected initialValue() : Map<String Object> from class io.seata.core.context.FastThreadLocalContextCore.fastThreadLocal.new FastThreadLocal<Map<String Object>>
186c8ac919c4732db73272ae7198685df0259114,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	String to Object in method public get(key String) : Object from class io.seata.core.context.FastThreadLocalContextCore
