Hash,Refatoração,Descrição
fb9e0f51f445277e36346e89022e5220c36c31a4,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@SentinelRestTemplate(blockHandler = "handleException"  blockHandlerClass = ExceptionUtil.class) in method public restTemplate() : RestTemplate from class org.springframework.cloud.alibaba.cloud.examples.ServiceApplication
fb9e0f51f445277e36346e89022e5220c36c31a4,REMOVE_METHOD_ANNOTATION, Remove Method Annotation Remove Method Annotation	@SentinelProtect(blockHandler = "handleException"  blockHandlerClass = ExceptionUtil.class) in method public restTemplate() : RestTemplate from class org.springframework.cloud.alibaba.cloud.examples.ServiceApplication
fb9e0f51f445277e36346e89022e5220c36c31a4,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	cache : ConcurrentHashMap<String SentinelProtect> to cache : ConcurrentHashMap<String SentinelRestTemplate> in class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method public postProcessMergedBeanDefinition(beanDefinition RootBeanDefinition  beanType Class<?>  beanName String) : void from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,RENAME_VARIABLE, Rename Variable Rename Variable	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method public postProcessMergedBeanDefinition(beanDefinition RootBeanDefinition  beanType Class<?>  beanName String) : void from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method public postProcessAfterInitialization(bean Object  beanName String) : Object from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,RENAME_VARIABLE, Rename Variable Rename Variable	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method public postProcessAfterInitialization(bean Object  beanName String) : Object from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method private registerBean(interceptorBeanName String  sentinelRestTemplate SentinelRestTemplate) : void from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,RENAME_PARAMETER, Rename Parameter Rename Parameter	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method private registerBean(interceptorBeanName String  sentinelRestTemplate SentinelRestTemplate) : void from class org.springframework.cloud.alibaba.sentinel.custom.SentinelBeanPostProcessor
fb9e0f51f445277e36346e89022e5220c36c31a4,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	sentinelProtect : SentinelProtect to sentinelRestTemplate : SentinelRestTemplate in method public SentinelProtectInterceptor(sentinelRestTemplate SentinelRestTemplate) from class org.springframework.cloud.alibaba.sentinel.custom.SentinelProtectInterceptor
