Hash,Refatoração,Descrição
3d15669b3bbc1ec2388c7b10a734a5af80ff9ef8,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@Deprecated in class com.xxl.job.admin.core.enums.ExecutorFailStrategyEnum
239d3e684c3573f6512c9518a16ccc67292fcf53,RENAME_CLASS, Rename Class Rename Class	com.xxl.job.executor.Application renamed to com.xxl.job.executor.XxlJobExecutorApplication
c8b9403e83ebabb9c24f68477fe122af00f412f4,RENAME_VARIABLE, Rename Variable Rename Variable	handlerThread : JobThread to jobThread : JobThread in method public registJobThread(jobkey String  handler IJobHandler) : JobThread from class com.xxl.job.core.router.HandlerRouter
06c909c475283c9e591525120aa623511a2cf4a8,CHANGE_ATTRIBUTE_ACCESS_MODIFIER, Change Attribute Access Modifier Change Attribute Access Modifier	package to private in attribute private server : Server from class com.xxl.job.core.executor.jetty.XxlJobExecutor
5368b6917e2902728289cbd22ebf860c9410d893,EXTRACT_OPERATION, Extract Method Extract Method	private stopInvokerFactory() : void extracted from private stopRpcProvider() : void in class com.xxl.job.core.executor.XxlJobExecutor
7dc7c1f2d020e16fb8627f07d72203385a13520d,RENAME_METHOD, Rename Method Rename Method	public readValueRefer(jsonStr String  clazz Class<T>) : T renamed to public readValue(jsonStr String  parametrized Class<?>  parameterClasses Class<?>...) : T in class com.xxl.job.core.util.JacksonUtil
7dc7c1f2d020e16fb8627f07d72203385a13520d,ADD_PARAMETER, Add Parameter Add Parameter	parametrized : Class<?> in method public readValue(jsonStr String  parametrized Class<?>  parameterClasses Class<?>...) : T from class com.xxl.job.core.util.JacksonUtil
7dc7c1f2d020e16fb8627f07d72203385a13520d,ADD_PARAMETER, Add Parameter Add Parameter	parameterClasses : Class<?>... in method public readValue(jsonStr String  parametrized Class<?>  parameterClasses Class<?>...) : T from class com.xxl.job.core.util.JacksonUtil
7dc7c1f2d020e16fb8627f07d72203385a13520d,REMOVE_PARAMETER, Remove Parameter Remove Parameter	clazz : Class<T> in method public readValueRefer(jsonStr String  clazz Class<T>) : T from class com.xxl.job.core.util.JacksonUtil
aba36d3139dec154eb50d222469ed41edd46c84b,RENAME_VARIABLE, Rename Variable Rename Variable	trigger_log_id : String to log_id : String in method public handle(s String  baseRequest Request  httpServletRequest HttpServletRequest  httpServletResponse HttpServletResponse) : void from class com.xxl.job.admin.core.callback.XxlJobLogCallbackServerHandler
aba36d3139dec154eb50d222469ed41edd46c84b,RENAME_VARIABLE, Rename Variable Rename Variable	trigger_log_id : String to log_id : String in method public run() : void from class com.xxl.job.core.handler.HandlerThread
aba36d3139dec154eb50d222469ed41edd46c84b,RENAME_VARIABLE, Rename Variable Rename Variable	trigger_log_address : String to log_address : String in method public run() : void from class com.xxl.job.core.handler.HandlerThread
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_CLASS, Move Class Move Class	com.xuxueli.executor.sample.frameless.FramelessApplication moved to com.xxl.job.executor.sample.frameless.FramelessApplication
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_CLASS, Move Class Move Class	com.xuxueli.executor.sample.frameless.config.FrameLessXxlJobConfig moved to com.xxl.job.executor.sample.frameless.config.FrameLessXxlJobConfig
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE_RENAME_CLASS, Move And Rename Class Move And Rename Class	com.xxl.job.core.log.XxlJobLogger moved and renamed to com.xxl.job.core.context.XxlJobHelper
5dfc6a1092ae8131db160d23323dca33f7501ad8,SPLIT_PARAMETER, Split Parameter Split Parameter	executeResult : ReturnT<String> to [handleCode : int  handleMsg : String] in method public HandleCallbackParam(logId long  logDateTim long  handleCode int  handleMsg String) from class com.xxl.job.core.biz.model.HandleCallbackParam
5dfc6a1092ae8131db160d23323dca33f7501ad8,SPLIT_ATTRIBUTE, Split Attribute Split Attribute	executeResult : ReturnT<String> to [handleCode : int  handleMsg : String] in class com.xxl.job.core.biz.model.HandleCallbackParam
5dfc6a1092ae8131db160d23323dca33f7501ad8,ADD_PARAMETER, Add Parameter Add Parameter	jobParam : String in method public XxlJobContext(jobId long  jobParam String  jobLogFileName String  shardIndex int  shardTotal int) from class com.xxl.job.core.context.XxlJobContext
5dfc6a1092ae8131db160d23323dca33f7501ad8,RENAME_VARIABLE, Rename Variable Rename Variable	method : Method to executeMethod : Method in method private initJobHandlerMethodRepository(applicationContext ApplicationContext) : void from class com.xxl.job.core.executor.impl.XxlJobSpringExecutor
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_THROWN_EXCEPTION_TYPE, Change Thrown Exception Type Change Thrown Exception Type	[InvocationTargetException  IllegalAccessException] to Exception in method public init() : void from class com.xxl.job.core.handler.IJobHandler
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_THROWN_EXCEPTION_TYPE, Change Thrown Exception Type Change Thrown Exception Type	[InvocationTargetException  IllegalAccessException] to Exception in method public destroy() : void from class com.xxl.job.core.handler.IJobHandler
