Hash,Refatoração,Descrição
37b6c6e949769a4bc68fdb46101367579ff03f0e,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	filter : ZuulFilter to filter : ZuulFilter<? ?> in method public runBufferedBodyContentThroughFilter(filter ZuulFilter<? ?>) : void from class com.netflix.zuul.message.ZuulMessageImpl
37b6c6e949769a4bc68fdb46101367579ff03f0e,RENAME_METHOD, Rename Method Rename Method	package instanciateClass(groovyClass Class) : Object renamed to package instantiateClass(groovyClass Class<?>) : Object in class com.netflix.zuul.scriptManager.FilterVerifier
37b6c6e949769a4bc68fdb46101367579ff03f0e,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	groovyClass : Class to groovyClass : Class<?> in method public verifyFilter(sFilterCode String) : FilterInfo from class com.netflix.zuul.scriptManager.FilterVerifier
37b6c6e949769a4bc68fdb46101367579ff03f0e,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Class to Class<?> in method public compileGroovy(sFilterCode String) : Class<?> from class com.netflix.zuul.scriptManager.FilterVerifier
37b6c6e949769a4bc68fdb46101367579ff03f0e,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	groovyClass : Class to groovyClass : Class<?> in method package instantiateClass(groovyClass Class<?>) : Object from class com.netflix.zuul.scriptManager.FilterVerifier
37b6c6e949769a4bc68fdb46101367579ff03f0e,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	filter : ZuulFilter to filter : ZuulFilter<? ?> in method public runBufferedBodyContentThroughFilter(filter ZuulFilter<? ?>) : void from class com.netflix.zuul.message.ZuulMessage
0a60545111a080c80453669163c85e927e6e53bc,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	protected to public in method public defaultChannelConfig(portName String) : ChannelConfig from class com.netflix.zuul.netty.server.BaseServerStartup
0a60545111a080c80453669163c85e927e6e53bc,ADD_METHOD_MODIFIER, Add Method Modifier Add Method Modifier	static in method public defaultChannelConfig(portName String) : ChannelConfig from class com.netflix.zuul.netty.server.BaseServerStartup
600b77e4d12485228ccc33df1835b12546da4449,ADD_PARAMETER_MODIFIER, Add Parameter Modifier Add Parameter Modifier	final in parameter handlerName : String in method public removeHandlerFromPipeline(handlerName String  pipeline ChannelPipeline) : void from class com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager
600b77e4d12485228ccc33df1835b12546da4449,ADD_PARAMETER_MODIFIER, Add Parameter Modifier Add Parameter Modifier	final in parameter pipeline : ChannelPipeline in method public removeHandlerFromPipeline(handlerName String  pipeline ChannelPipeline) : void from class com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager
600b77e4d12485228ccc33df1835b12546da4449,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public removeHandlerFromPipeline(handlerName String  pipeline ChannelPipeline) : void from class com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager
600b77e4d12485228ccc33df1835b12546da4449,ADD_METHOD_MODIFIER, Add Method Modifier Add Method Modifier	static in method public removeHandlerFromPipeline(handlerName String  pipeline ChannelPipeline) : void from class com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager
5267d633e4da48350c99ae2f4f1a6f6246dae021,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	e : Exception to e : Throwable in method public processAsyncFilter(msg ZuulMessage  filter ZuulFilter  shouldSendErrorResponse boolean) : Observable<ZuulMessage> from class com.netflix.zuul.FilterProcessorImpl
